event_bits,evt_cmd_reverse_trigger,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,1,3,2,63271,0,1265463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63272,0,1265483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63273,0,1265503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63274,0,1265523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63275,0,1265543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63276,0,1265563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63277,0,1265583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63278,0,1265603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63279,0,1265623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63280,0,1265643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63281,0,1265663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63282,0,1265683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63283,0,1265703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63284,0,1265723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63285,0,1265743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63286,0,1265763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63287,0,1265783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63288,0,1265803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63289,0,1265823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63290,0,1265843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63291,0,1265863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63292,0,1265883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63293,0,1265903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63294,0,1265923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63295,0,1265943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63296,0,1265963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63297,0,1265983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63298,0,1266003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63299,0,1266023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63300,0,1266043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63301,0,1266063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63302,0,1266083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63303,0,1266103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63304,0,1266123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63305,0,1266143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63306,0,1266163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63307,0,1266183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63308,0,1266203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63309,0,1266223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63310,0,1266243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63311,0,1266263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63312,0,1266283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63313,0,1266303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63314,0,1266323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63315,0,1266343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63316,0,1266363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63317,0,1266383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63318,0,1266403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63319,0,1266423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63320,0,1266443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63321,0,1266463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63322,0,1266483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63323,0,1266503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63324,0,1266523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63325,0,1266543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63326,0,1266563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63327,0,1266583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63328,0,1266603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63329,0,1266623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63330,0,1266643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63331,0,1266663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63332,0,1266683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63333,0,1266703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63334,0,1266723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63335,0,1266743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63336,0,1266763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63337,0,1266783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63338,0,1266803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63339,0,1266823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63340,0,1266843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63341,0,1266863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63342,0,1266883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63343,0,1266903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63344,0,1266923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63345,0,1266943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63346,0,1266963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63347,0,1266983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63348,0,1267003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63349,0,1267023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63350,0,1267043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63351,0,1267063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63352,0,1267083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63353,0,1267103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63354,0,1267123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63355,0,1267143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63356,0,1267163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63357,0,1267183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63358,0,1267203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63359,0,1267223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63360,0,1267243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63361,0,1267263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63362,0,1267283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63363,0,1267303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63364,0,1267323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63365,0,1267343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63366,0,1267363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63367,0,1267383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63368,0,1267403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63369,0,1267423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63370,0,1267443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63371,0,1267463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63372,0,1267483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63373,0,1267503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63374,0,1267523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63375,0,1267543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63376,0,1267563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63377,0,1267583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63378,0,1267603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63379,0,1267623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63380,0,1267643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63381,0,1267663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63382,0,1267683,0,0.0,0
