ff_b_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
1278,3731,0.176,0.189,-506
1288,3781,0.177,0.189,-266
1298,3869,0.177,0.189,-174
1308,3910,0.177,0.189,-28
1318,3944,0.178,0.189,19
1328,3951,0.179,0.188,97
1338,3943,0.179,0.184,253
1348,3909,0.178,0.179,324
1358,3709,0.179,0.171,454
1368,3474,0.179,0.161,517
1378,3197,0.178,0.15,615
1388,2792,0.178,0.138,642
1398,2358,0.177,0.125,660
1408,1853,0.177,0.111,660
1415,1368,0.174,0.098,660
1405,760,0.173,0.085,660
1395,133,0.171,0.072,660
1385,-525,0.167,0.059,660
1375,-1048,0.161,0.045,660
1365,-1689,0.154,0.032,660
1355,-2213,0.145,0.019,660
1345,-2814,0.136,0.006,660
1339,-3269,0.124,-0.006,660
1339,-3609,0.109,-0.02,660
1339,-3446,0.092,-0.033,660
1339,-3211,0.072,-0.046,660
1339,-2777,0.046,-0.059,660
1339,-2491,0.021,-0.072,660
1339,-2199,-0.004,-0.086,660
1339,-1944,-0.03,-0.099,660
1339,-1822,-0.053,-0.112,660
1339,-1689,-0.075,-0.125,660
1339,-1601,-0.096,-0.138,660
