bullet_cnt,fric1_rpm,fric_set,key_v,mouse_x,mouse_y,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
0,4886,4900.0,0,-10,24,2,0,0,0,0.0
0,4873,4900.0,0,-4,24,2,0,0,0,0.0
0,4907,4900.0,0,0,27,2,0,0,0,0.0
0,4867,4900.0,0,0,27,2,0,0,0,0.0
0,4913,4900.0,0,0,27,2,0,0,0,0.0
0,4886,4900.0,0,0,24,2,0,0,0,0.0
0,4877,4900.0,0,0,24,2,0,0,0,0.0
0,4913,4900.0,0,0,24,2,0,0,0,0.0
0,4844,4900.0,0,0,24,2,0,0,0,0.0
0,4905,4900.0,0,0,3,2,0,0,0,0.0
0,4892,4900.0,0,0,3,2,0,0,0,0.0
0,4882,4900.0,0,0,3,2,0,0,0,0.0
0,4873,4900.0,0,0,3,2,0,0,0,0.0
0,4905,4900.0,0,0,3,2,0,0,0,0.0
0,4867,4900.0,0,-1,7,2,0,0,0,0.0
0,4913,4900.0,0,-1,7,2,0,0,0,0.0
0,4884,4900.0,0,-1,4,2,0,0,0,0.0
0,4877,4900.0,0,0,0,2,0,0,0,0.0
0,4913,4900.0,0,0,0,2,0,0,0,0.0
0,4844,4900.0,0,0,0,2,0,0,0,0.0
0,4905,4900.0,0,0,0,2,0,0,0,0.0
0,4873,4900.0,0,0,-1,2,0,0,0,0.0
0,4879,4900.0,0,0,-1,2,0,0,0,0.0
0,4923,4900.0,0,-1,-9,2,0,0,0,0.0
0,4854,4900.0,0,-3,-18,2,0,0,0,0.0
0,4896,4900.0,0,-3,-18,2,0,0,0,0.0
0,4911,4900.0,0,0,-22,2,0,0,0,0.0
0,4884,4900.0,0,0,-22,2,0,0,0,0.0
0,4879,4900.0,0,0,-22,2,0,0,0,0.0
0,4911,4900.0,0,0,-22,2,0,0,0,0.0
0,4846,4900.0,0,4,-18,2,0,0,0,0.0
0,4907,4900.0,0,3,-18,2,0,0,0,0.0
0,4873,4900.0,0,3,-9,2,0,0,0,0.0
0,4882,4900.0,0,3,-9,2,0,0,0,0.0
