evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
0,0,0,1,0,1,0,0,0.0,3,2,158921,3178463,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158922,3178483,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158923,3178503,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158924,3178523,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158925,3178543,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158926,3178563,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158927,3178583,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158928,3178603,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158929,3178623,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158930,3178643,0,0.0,0
0,0,0,1,0,1,629,-597,93400.0,3,2,158931,3178663,0,0.0,0
0,0,0,1,0,1,1502,-1428,93400.0,3,2,158932,3178683,0,0.0,0
0,0,0,1,0,1,2391,-2242,93400.0,3,2,158933,3178703,0,0.0,0
0,0,0,1,0,1,3210,-3119,93400.0,3,2,158934,3178723,0,0.0,0
0,0,0,1,0,1,4132,-3930,93400.0,3,2,158935,3178743,0,0.0,0
0,0,0,1,0,1,4965,-4728,93400.0,3,2,158936,3178763,0,0.0,0
0,0,0,1,0,1,5788,-5561,93400.0,3,2,158937,3178783,0,0.0,0
0,0,0,1,0,1,6631,-6414,93400.0,3,2,158938,3178803,0,0.0,0
0,0,0,1,0,1,7487,-7289,93400.0,3,2,158939,3178823,0,0.0,0
0,0,0,1,0,1,8087,-7967,93400.0,3,2,158940,3178843,0,0.0,0
0,0,0,1,0,1,8514,-8480,93400.0,3,2,158941,3178863,0,0.0,0
0,0,0,1,0,1,8793,-8859,93400.0,3,2,158942,3178883,0,0.0,0
0,0,0,1,0,1,8998,-9089,93400.0,3,2,158943,3178903,0,0.0,0
0,0,0,1,0,1,9136,-9273,93400.0,3,2,158944,3178923,0,0.0,0
0,0,0,1,0,1,9203,-9355,93400.0,3,2,158945,3178943,0,0.0,0
0,0,0,1,0,1,9280,-9417,93400.0,3,2,158946,3178963,0,0.0,0
0,0,0,1,0,1,9299,-9472,93400.0,3,2,158947,3178983,0,0.0,0
0,0,0,1,0,1,9322,-9537,93400.0,3,2,158948,3179003,0,0.0,0
0,0,0,1,0,1,9364,-9572,93400.0,3,2,158949,3179023,0,0.0,0
0,0,0,1,0,1,9393,-9564,93400.0,3,2,158950,3179043,0,0.0,0
0,0,0,1,0,1,9435,-9593,93400.0,3,2,158951,3179063,0,0.0,0
0,0,0,1,0,1,9435,-9606,93400.0,3,2,158952,3179083,0,0.0,0
0,0,0,1,0,1,9441,-9593,93400.0,3,2,158953,3179103,0,0.0,0
0,0,0,1,0,1,9443,-9645,93400.0,3,2,158954,3179123,0,0.0,0
0,0,0,1,0,1,9446,-9612,93400.0,3,2,158955,3179143,0,0.0,0
0,0,0,1,0,1,9435,-9650,93400.0,3,2,158956,3179163,0,0.0,0
0,0,0,1,0,1,9439,-9606,93400.0,3,2,158957,3179183,0,0.0,0
0,0,0,1,0,1,9458,-9660,93400.0,3,2,158958,3179203,0,0.0,0
0,0,0,1,0,1,9448,-9620,93400.0,3,2,158959,3179223,0,0.0,0
0,0,0,1,0,1,9439,-9654,93400.0,3,2,158960,3179243,0,0.0,0
0,0,0,1,0,1,9414,-9601,93400.0,3,2,158961,3179263,0,0.0,0
0,0,0,1,0,1,9425,-9654,93400.0,3,2,158962,3179283,0,0.0,0
0,0,0,1,0,1,9429,-9629,93400.0,3,2,158963,3179303,0,0.0,0
0,0,0,1,0,1,9431,-9662,93400.0,3,2,158964,3179323,0,0.0,0
0,0,0,1,0,1,9435,-9616,93400.0,3,2,158965,3179343,0,0.0,0
0,0,0,1,0,1,9433,-9641,93400.0,3,2,158966,3179363,0,0.0,0
0,0,0,1,0,1,9431,-9622,93400.0,3,2,158967,3179383,0,0.0,0
0,0,0,1,0,1,9435,-9660,93400.0,3,2,158968,3179403,0,0.0,0
0,0,0,1,0,1,9443,-9637,93400.0,3,2,158969,3179423,0,0.0,0
0,0,0,1,0,1,9456,-9650,93400.0,3,2,158970,3179443,0,0.0,0
0,0,0,1,0,1,9464,-9616,93400.0,3,2,158971,3179463,0,0.0,0
0,0,0,1,0,1,9475,-9666,93400.0,3,2,158972,3179483,0,0.0,0
0,0,0,1,0,1,9460,-9633,93400.0,3,2,158973,3179503,0,0.0,0
0,0,0,1,0,1,9448,-9654,93400.0,3,2,158974,3179523,0,0.0,0
0,0,0,1,0,1,9452,-9616,93400.0,3,2,158975,3179543,0,0.0,0
0,0,0,1,0,1,9469,-9662,93400.0,3,2,158976,3179563,0,0.0,0
0,0,0,1,0,1,9456,-9637,93400.0,3,2,158977,3179583,0,0.0,0
0,0,0,1,0,1,9450,-9652,93400.0,3,2,158978,3179603,0,0.0,0
0,0,0,1,0,1,9433,-9614,93400.0,3,2,158979,3179623,0,0.0,0
0,0,0,1,0,1,9429,-9650,93400.0,3,2,158980,3179643,0,0.0,0
0,0,0,1,0,1,9431,-9639,93400.0,3,2,158981,3179663,0,0.0,0
0,0,0,1,0,1,9431,-9654,93400.0,3,2,158982,3179683,0,0.0,0
0,0,0,1,0,1,9429,-9629,93400.0,3,2,158983,3179703,0,0.0,0
0,0,0,1,0,1,9435,-9635,93400.0,3,2,158984,3179723,0,0.0,0
0,0,0,1,0,1,9435,-9635,93400.0,3,2,158985,3179743,0,0.0,0
0,0,0,1,0,1,9427,-9660,93400.0,3,2,158986,3179763,0,0.0,0
0,0,0,1,0,1,9431,-9618,93400.0,3,2,158987,3179783,0,0.0,0
0,0,0,1,0,1,9441,-9652,93400.0,3,2,158988,3179803,0,0.0,0
0,0,0,1,0,1,9471,-9618,93400.0,3,2,158989,3179823,0,0.0,0
0,0,0,1,0,1,9477,-9671,93400.0,3,2,158990,3179843,0,0.0,0
0,0,0,1,0,1,9462,-9637,93400.0,3,2,158991,3179863,0,0.0,0
