evt_cmd_shoot_toggle,evt_fn1_cur,fric1_rpm,fric2_rpm,fric_set,high_freq,shoot_mode
0,0,4875,-4853,4900.0,0,2
0,0,4892,-4847,4900.0,0,2
0,0,4913,-4899,4900.0,0,2
0,0,4871,-4906,4900.0,0,2
0,0,4898,-4874,4900.0,0,2
0,0,4879,-4924,4900.0,0,2
0,0,4892,-4851,4900.0,0,2
0,0,4905,-4904,4900.0,0,2
0,0,4882,-4912,4900.0,0,2
0,0,4905,-4864,4900.0,0,2
0,0,4859,-4920,4900.0,0,2
0,0,4873,-4874,4900.0,0,2
0,0,4890,-4891,4900.0,0,2
0,0,4869,-4924,4900.0,0,2
0,0,4919,-4843,4900.0,0,2
0,0,4873,-4849,4900.0,0,2
0,0,4877,-4922,4900.0,0,2
0,0,4886,-4883,4900.0,0,2
0,0,4907,-4901,4900.0,0,2
0,0,4882,-4914,4900.0,0,2
0,0,4900,-4849,4900.0,0,2
0,0,4865,-4914,4900.0,0,2
0,0,4873,-4895,4900.0,0,2
0,0,4894,-4885,4900.0,0,2
0,0,4869,-4924,4900.0,0,2
0,0,4919,-4845,4900.0,0,2
0,0,4877,-4906,4900.0,0,2
0,0,4875,-4904,4900.0,0,2
0,0,4905,-4872,4900.0,0,2
