evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set,vt03_toe
1,0,1,9450,-9622,93400.0,3,2,155063,3101303,0,27960368,27960356,0.0,0
1,0,1,9450,-9677,93400.0,3,2,155064,3101323,0,27960368,27960356,0.0,0
1,0,1,9450,-9633,93400.0,3,2,155065,3101343,0,27960368,27960356,0.0,0
1,0,1,9446,-9673,93400.0,3,2,155066,3101363,0,27960368,27960356,0.0,0
1,0,1,9433,-9627,93400.0,3,2,155067,3101383,0,27960368,27960356,0.0,0
1,0,1,9435,-9677,93400.0,3,2,155068,3101403,0,27960368,27960356,0.0,0
1,0,1,9450,-9641,93400.0,3,2,155069,3101423,0,27960368,27960356,0.0,0
1,0,1,9462,-9647,93400.0,3,2,155070,3101443,0,27960368,27960356,0.0,0
1,0,1,9475,-9650,93400.0,3,2,155071,3101463,0,27960368,27960356,0.0,0
1,0,1,9483,-9658,93400.0,3,2,155072,3101483,0,27960368,27960356,0.0,0
1,0,1,9471,-9662,93400.0,3,2,155073,3101503,0,27960368,27960356,0.0,0
1,0,1,9467,-9641,93400.0,3,2,155074,3101523,0,27960368,27960356,0.0,0
1,0,1,9454,-9647,93400.0,3,2,155075,3101543,0,27960368,27960356,0.0,0
1,0,1,9454,-9637,93400.0,3,2,155076,3101563,0,27960368,27960356,0.0,0
1,0,1,9467,-9675,93400.0,3,2,155077,3101583,0,27960368,27960356,0.0,0
1,0,1,9458,-9650,93400.0,3,2,155078,3101603,0,27960368,27960356,0.0,0
1,0,1,9443,-9666,93400.0,3,2,155079,3101623,0,27960368,27960356,0.0,0
1,0,1,9420,-9627,93400.0,3,2,155080,3101643,0,27960368,27960356,0.0,0
1,0,1,9435,-9679,93400.0,3,2,155081,3101663,0,27960368,27960356,0.0,0
1,0,1,9448,-9643,93400.0,3,2,155082,3101683,0,27960368,27960356,0.0,0
1,0,1,9458,-9671,93400.0,3,2,155083,3101703,0,27960368,27960356,0.0,0
1,0,1,9467,-9618,93400.0,3,2,155084,3101723,0,27960368,27960356,0.0,0
1,0,1,9456,-9668,93400.0,3,2,155085,3101743,0,27960368,27960356,0.0,0
1,0,1,9462,-9635,93400.0,3,2,155086,3101763,0,27960368,27960356,0.0,0
1,0,1,9464,-9681,93400.0,3,2,155087,3101783,0,27960368,27960356,0.0,0
1,0,1,9471,-9627,93400.0,3,2,155088,3101803,0,27960368,27960356,0.0,0
1,1,1,9485,-9656,93400.0,3,2,155089,3101823,0,27960368,27960356,0.0,0
1,1,1,9471,-9650,93400.0,3,2,155090,3101843,0,27960368,27960356,0.0,0
1,1,1,9456,-9662,93400.0,3,2,155091,3101863,0,27960368,27960356,0.0,0
1,1,1,9439,-9639,93400.0,3,2,155092,3101883,0,27960368,27960356,0.0,0
1,1,1,9435,-9650,93400.0,3,2,155093,3101903,0,27960368,27960356,0.0,0
1,1,1,9439,-9650,93400.0,3,2,155094,3101923,0,27960368,27960356,0.0,0
1,1,1,9446,-9656,93400.0,3,2,155095,3101943,0,27960368,27960356,0.0,0
1,0,1,9454,-9643,93400.0,3,2,155096,3101963,0,27960368,27960356,0.0,0
1,0,1,9452,-9637,93400.0,3,2,155097,3101983,0,27960368,27960356,0.0,0
1,0,1,9460,-9654,93400.0,3,2,155098,3102003,0,27960368,27960356,0.0,0
1,0,1,9464,-9652,93400.0,3,2,155099,3102023,0,27960368,27960356,0.0,0
1,0,1,9473,-9660,93400.0,3,2,155100,3102043,0,27960368,27960356,0.0,0
1,0,1,9487,-9633,93400.0,3,2,155101,3102063,0,27960368,27960356,0.0,0
1,0,1,9477,-9664,93400.0,3,2,155102,3102083,0,27960368,27960356,0.0,0
1,0,1,9467,-9637,93400.0,3,2,155103,3102103,0,27960368,27960356,0.0,0
1,0,1,9454,-9679,93400.0,3,2,155104,3102123,0,27960368,27960356,0.0,0
1,0,1,9448,-9620,93400.0,3,2,155105,3102143,0,27960368,27960356,0.0,0
1,0,1,9443,-9662,93400.0,3,2,155106,3102163,0,27960368,27960356,0.0,0
1,0,1,9439,-9622,93400.0,3,2,155107,3102183,0,27960368,27960356,0.0,0
1,0,1,9439,-9673,93400.0,3,2,155108,3102203,0,27960368,27960356,0.0,0
1,0,1,9448,-9633,93400.0,3,2,155109,3102223,0,27960368,27960356,0.0,0
1,0,1,9448,-9675,93400.0,3,2,155110,3102243,0,27960368,27960356,0.0,0
1,0,1,9452,-9627,93400.0,3,2,155111,3102263,0,27960368,27960356,0.0,0
1,0,1,9462,-9675,93400.0,3,2,155112,3102283,0,27960368,27960356,0.0,0
1,0,1,9479,-9637,93400.0,3,2,155113,3102303,0,27960368,27960356,0.0,0
1,0,1,9481,-9668,93400.0,3,2,155114,3102323,0,27960368,27960356,0.0,0
1,0,1,9481,-9622,93400.0,3,2,155115,3102343,0,27960368,27960356,0.0,0
1,0,1,9464,-9662,93400.0,3,2,155116,3102363,0,27960368,27960356,0.0,0
1,0,1,9464,-9641,93400.0,3,2,155117,3102383,0,27960368,27960356,0.0,0
1,0,1,9450,-9666,93400.0,3,2,155118,3102403,0,27960368,27960356,0.0,0
