bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
4,4710,4,10000,486645,503448,16.017,8221.2
5,4838,6,-6153,509159,509159,25.25,0.0
5,4750,2,0,528867,528867,20.648,0.0
5,4838,2,0,545106,545106,17.082,0.0
5,4683,2,0,558248,558248,13.151,0.0
5,4817,2,0,569282,569282,11.575,0.0
5,4888,2,0,578287,578287,9.51,0.0
5,4867,2,0,583486,583486,5.327,0.0
5,4739,2,0,587353,587353,4.023,0.0
5,4865,2,0,589648,589648,2.392,0.0
5,4848,2,0,590402,590402,0.689,0.0
5,4869,2,0,590355,590355,-0.083,0.0
5,4898,2,0,590330,590330,-0.026,0.0
5,4869,2,0,590325,590325,-0.008,0.0
5,4915,2,0,590315,590315,-0.011,0.0
5,4882,2,0,590308,590308,-0.007,0.0
5,4875,2,0,590295,590295,-0.019,0.0
5,4909,2,0,590248,590248,-0.06,0.0
5,4846,2,0,590179,590179,-0.066,0.0
5,4905,2,0,590104,590104,-0.081,0.0
5,4871,2,0,590106,590106,0.003,0.0
5,4882,2,0,590106,590106,0.0,0.0
5,4921,2,0,590106,590106,0.0,0.0
5,4903,2,0,590106,590106,0.0,0.0
5,4898,2,0,590106,590106,0.0,0.0
5,4909,2,0,590106,590106,0.0,0.0
5,4884,2,0,590106,590106,0.0,0.0
5,4879,2,0,590106,590106,0.0,0.0
5,4907,2,0,590106,590106,0.0,0.0
5,4846,2,0,590106,590106,0.0,0.0
5,4905,2,0,590106,590106,0.0,0.0
5,4869,2,0,590106,590106,0.0,0.0
5,4882,2,0,590106,590106,0.0,0.0
