event_bits,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,1,1,9693,-9873,284400.0,1,3,2,86774,1,1735523,0,0.0,0
1048832,0,0,0,1,1,9716,-9882,284400.0,1,3,2,86775,1,1735543,0,0.0,0
1048832,0,0,0,1,1,9690,-9905,284400.0,1,3,2,86776,1,1735563,0,0.0,0
1048832,0,0,0,1,1,9707,-9903,284400.0,1,3,2,86777,1,1735583,0,0.0,0
1048832,0,0,0,1,1,9724,-9911,284400.0,1,3,2,86778,1,1735603,0,0.0,0
1048832,0,0,0,1,1,9676,-9922,284400.0,1,3,2,86779,1,1735623,0,0.0,0
1048832,0,0,0,1,1,9699,-9913,284400.0,1,3,2,86780,1,1735643,0,0.0,0
1048832,0,0,0,1,1,9720,-9903,284400.0,1,3,2,86781,1,1735663,0,0.0,0
1048832,0,0,0,1,1,9697,-9888,284400.0,1,3,2,86782,1,1735683,0,0.0,0
1048832,0,0,0,1,1,9693,-9901,284400.0,1,3,2,86783,1,1735703,0,0.0,0
1048832,0,0,0,1,1,9718,-9876,284400.0,1,3,2,86784,1,1735723,0,0.0,0
1048832,0,0,0,1,1,9693,-9903,284400.0,1,3,2,86785,1,1735743,0,0.0,0
1048832,0,0,0,1,1,9705,-9911,284400.0,1,3,2,86786,1,1735763,0,0.0,0
1048832,0,0,0,1,1,9707,-9915,284400.0,1,3,2,86787,1,1735783,0,0.0,0
1048832,0,0,0,1,1,9680,-9913,284400.0,1,3,2,86788,1,1735803,0,0.0,0
1048832,0,0,0,1,1,9726,-9915,284400.0,1,3,2,86789,1,1735823,0,0.0,0
1048832,0,0,0,1,1,9709,-9905,284400.0,1,3,2,86790,1,1735843,0,0.0,0
1048832,0,0,0,1,1,9672,-9886,284400.0,1,3,2,86791,1,1735863,0,0.0,0
1048832,0,0,0,1,1,9705,-9897,284400.0,1,3,2,86792,1,1735883,0,0.0,0
1048832,0,0,0,1,1,9697,-9888,284400.0,1,3,2,86793,1,1735903,0,0.0,0
1048832,0,0,0,1,1,9697,-9869,284400.0,1,3,2,86794,1,1735923,0,0.0,0
1048832,0,0,0,1,1,9718,-9892,284400.0,1,3,2,86795,1,1735943,0,0.0,0
1048832,0,0,0,1,1,9676,-9901,284400.0,1,3,2,86796,1,1735963,0,0.0,0
1048832,0,0,0,1,1,9693,-9905,284400.0,1,3,2,86797,1,1735983,0,0.0,0
1048832,0,0,0,1,1,9728,-9913,284400.0,1,3,2,86798,1,1736003,0,0.0,0
1048832,0,0,0,1,1,9690,-9909,284400.0,1,3,2,86799,1,1736023,0,0.0,0
1048832,0,0,0,1,1,9693,-9884,284400.0,1,3,2,86800,1,1736043,0,0.0,0
1310976,0,1,0,1,1,9728,-9882,286200.0,1,3,2,86801,1,1736063,0,0.0,0
1310976,0,1,0,1,1,9695,-9894,288200.0,1,3,2,86802,1,1736083,0,0.0,0
1310976,0,1,0,1,1,9695,-9871,290200.0,1,3,2,86803,1,1736103,0,0.0,0
1310976,0,1,0,1,1,9703,-9886,292200.0,1,3,2,86804,1,1736123,0,0.0,0
1310976,0,1,0,1,1,9686,-9907,294200.0,1,3,2,86805,1,1736143,0,0.0,0
1310976,0,1,0,1,1,9718,-9907,296200.0,1,3,2,86806,1,1736163,0,0.0,0
1310976,0,1,0,1,1,9701,-9915,298200.0,1,3,2,86807,1,1736183,0,0.0,0
1310976,0,1,0,1,1,9670,-9920,300200.0,1,3,2,86808,1,1736203,0,0.0,0
1310976,0,1,0,1,1,9716,-9913,302200.0,1,3,2,86809,1,1736223,0,0.0,0
1310976,0,1,0,1,1,9703,-9899,304200.0,1,3,2,86810,1,1736243,0,0.0,0
1310976,0,1,0,1,1,9695,-9884,306200.0,1,3,2,86811,1,1736263,0,0.0,0
1310976,0,1,0,1,1,9703,-9903,308200.0,1,3,2,86812,1,1736283,0,0.0,0
1310976,0,1,0,1,1,9707,-9873,310200.0,1,3,2,86813,1,1736303,0,0.0,0
1310976,0,1,0,1,1,9695,-9878,312200.0,1,3,2,86814,1,1736323,0,0.0,0
1310976,0,1,0,1,1,9718,-9899,314200.0,1,3,2,86815,1,1736343,0,0.0,0
1310976,0,1,0,1,1,9690,-9917,316200.0,1,3,2,86816,1,1736363,0,0.0,0
1310976,0,1,0,1,1,9690,-9909,318200.0,1,3,2,86817,1,1736383,0,0.0,0
1310976,0,1,0,1,1,9730,-9913,320200.0,1,3,2,86818,1,1736403,0,0.0,0
1310976,0,1,0,1,1,9695,-9903,322200.0,1,3,2,86819,1,1736423,0,0.0,0
1310976,0,1,0,1,1,9697,-9886,324200.0,1,3,2,86820,1,1736443,0,0.0,0
1048832,0,0,0,1,1,9713,-9897,325500.0,1,3,2,86821,1,1736463,0,0.0,0
1048832,0,0,0,1,1,9688,-9890,325500.0,1,3,2,86822,1,1736483,0,0.0,0
1048832,0,0,0,1,1,9709,-9863,325500.0,1,3,2,86823,1,1736503,0,0.0,0
1048832,0,0,0,1,1,9707,-9890,325500.0,1,3,2,86824,1,1736523,0,0.0,0
1048832,0,0,0,1,1,9686,-9903,325500.0,1,3,2,86825,1,1736543,0,0.0,0
1048832,0,0,0,1,1,9728,-9907,325500.0,1,3,2,86826,1,1736563,0,0.0,0
1048832,0,0,0,1,1,9713,-9920,325500.0,1,3,2,86827,1,1736583,0,0.0,0
1048832,0,0,0,1,1,9672,-9911,325500.0,1,3,2,86828,1,1736603,0,0.0,0
1048832,0,0,0,1,1,9705,-9909,325500.0,1,3,2,86829,1,1736623,0,0.0,0
1048832,0,0,0,1,1,9720,-9901,325500.0,1,3,2,86830,1,1736643,0,0.0,0
1048832,0,0,0,1,1,9693,-9894,325500.0,1,3,2,86831,1,1736663,0,0.0,0
1048832,0,0,0,1,1,9718,-9869,325500.0,1,3,2,86832,1,1736683,0,0.0,0
1048832,0,0,0,1,1,9703,-9890,325500.0,1,3,2,86833,1,1736703,0,0.0,0
1048832,0,0,0,1,1,9693,-9907,325500.0,1,3,2,86834,1,1736723,0,0.0,0
1048832,0,0,0,1,1,9728,-9907,325500.0,1,3,2,86835,1,1736743,0,0.0,0
1048832,0,0,0,1,1,9695,-9915,325500.0,1,3,2,86836,1,1736763,0,0.0,0
1048832,0,0,0,1,1,9688,-9920,325500.0,1,3,2,86837,1,1736783,0,0.0,0
1048832,0,0,0,1,1,9728,-9913,325500.0,1,3,2,86838,1,1736803,0,0.0,0
