event_bits,evt_pause_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,1,1,0.0,1,3,2,68027,0,1360583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68028,0,1360603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68029,0,1360623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68030,0,1360643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68031,0,1360663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68032,0,1360683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68033,0,1360703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68034,0,1360723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68035,0,1360743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68036,0,1360763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68037,0,1360783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68038,0,1360803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68039,0,1360823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68040,0,1360843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68041,0,1360863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68042,0,1360883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68043,0,1360903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68044,0,1360923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68045,0,1360943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68046,0,1360963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68047,0,1360983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68048,0,1361003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68049,0,1361023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68050,0,1361043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68051,0,1361063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68052,0,1361083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68053,0,1361103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68054,0,1361123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68055,0,1361143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68056,0,1361163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68057,0,1361183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68058,0,1361203,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68059,0,1361223,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68060,0,1361243,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68061,0,1361263,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68062,0,1361283,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68063,0,1361303,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68064,0,1361323,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68065,0,1361343,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68066,0,1361363,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68067,0,1361383,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68068,0,1361403,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68069,0,1361423,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68070,0,1361443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68071,0,1361463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68072,0,1361483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68073,0,1361503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68074,0,1361523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68075,0,1361543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68076,0,1361563,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68077,0,1361583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68078,0,1361603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68079,0,1361623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68080,0,1361643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68081,0,1361663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68082,0,1361683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68083,0,1361703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68084,0,1361723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68085,0,1361743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68086,0,1361763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68087,0,1361783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68088,0,1361803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68089,0,1361823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68090,0,1361843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68091,0,1361863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68092,0,1361883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68093,0,1361903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68094,0,1361923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68095,0,1361943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68096,0,1361963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68097,0,1361983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68098,0,1362003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68099,0,1362023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68100,0,1362043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68101,0,1362063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68102,0,1362083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68103,0,1362103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68104,0,1362123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68105,0,1362143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68106,0,1362163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68107,0,1362183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68108,0,1362203,0,0.0,0
