event_bits,evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_ch3,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70893,0,1417903,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70894,0,1417923,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70895,0,1417943,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70896,0,1417963,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70897,0,1417983,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70898,0,1418003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70899,0,1418023,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70900,0,1418043,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70901,0,1418063,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70902,0,1418083,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70903,0,1418103,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70904,0,1418123,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70905,0,1418143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70906,0,1418163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70907,0,1418183,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70908,0,1418203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70909,0,1418223,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70910,0,1418243,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70911,0,1418263,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70912,0,1418283,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70913,0,1418303,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70914,0,1418323,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70915,0,1418343,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70916,0,1418363,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70917,0,1418383,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70918,0,1418403,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70919,0,1418423,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70920,0,1418443,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70921,0,1418463,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70922,0,1418483,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70923,0,1418503,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70924,0,1418523,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70925,0,1418543,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70926,0,1418563,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70927,0,1418583,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70928,0,1418603,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70929,0,1418623,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70930,0,1418643,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70931,0,1418663,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70932,0,1418683,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70933,0,1418703,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70934,0,1418723,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70935,0,1418743,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70936,0,1418763,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70937,0,1418783,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70938,0,1418803,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70939,0,1418823,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70940,0,1418843,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70941,0,1418863,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70942,0,1418883,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70943,0,1418903,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70944,0,1418923,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70945,0,1418943,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70946,0,1418963,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70947,0,1418983,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70948,0,1419003,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70949,0,1419023,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70950,0,1419043,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70951,0,1419063,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70952,0,1419083,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70953,0,1419103,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70954,0,1419123,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70955,0,1419143,0,0.0,0
1310976,0,1,1,1,0,-5,0.0,1,0,3,2,70956,0,1419163,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70957,0,1419183,0,0.0,0
1310976,0,1,1,1,0,0,0.0,1,0,3,2,70958,0,1419203,0,0.0,0
1310976,0,1,1,1,0,-3,0.0,1,0,3,2,70959,0,1419223,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70960,0,1419243,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70961,0,1419263,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70962,0,1419283,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70963,0,1419303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70964,0,1419323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70965,0,1419343,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70966,0,1419363,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70967,0,1419383,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70968,0,1419403,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70969,0,1419423,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70970,0,1419443,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70971,0,1419463,0,0.0,0
