event_bits,evt_cmd_high_freq_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,0,3,2,54860,0,1097243,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54861,0,1097263,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54862,0,1097283,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54863,0,1097303,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54864,0,1097323,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54865,0,1097343,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54866,0,1097363,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54867,0,1097383,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54868,0,1097403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54869,0,1097423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54870,0,1097443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54871,0,1097463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54872,0,1097483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54873,0,1097503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54874,0,1097523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54875,0,1097543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54876,0,1097563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54877,0,1097583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54878,0,1097603,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54879,0,1097623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54880,0,1097643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54881,0,1097663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54882,0,1097683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54883,0,1097703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54884,0,1097723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54885,0,1097743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54886,0,1097763,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54887,0,1097783,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54888,0,1097803,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54889,0,1097823,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54890,0,1097843,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54891,0,1097863,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54892,0,1097883,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54893,0,1097903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54894,0,1097923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54895,0,1097943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54896,0,1097963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54897,0,1097983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54898,0,1098003,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54899,0,1098023,0,0.0,0
