pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,rc_ch1,rc_ch3
6619,2,-0.229,-0.196,0,0
6621,2,-0.229,-0.196,0,0
6623,2,-0.229,-0.196,0,0
6625,2,-0.229,-0.196,0,0
6627,2,-0.229,-0.196,0,0
6629,2,-0.229,-0.196,0,0
6631,2,-0.229,-0.196,0,0
6633,2,-0.229,-0.196,0,0
6635,2,-0.229,-0.196,0,0
6636,2,-0.229,-0.196,0,0
6639,2,-0.229,-0.196,0,0
6641,2,-0.229,-0.196,0,0
6643,2,-0.229,-0.196,0,0
6645,2,-0.229,-0.196,0,0
6647,2,-0.229,-0.196,0,0
6649,2,-0.229,-0.196,0,0
6651,2,-0.229,-0.196,0,0
6653,2,-0.229,-0.196,0,0
6655,2,-0.229,-0.196,0,0
6657,2,-0.229,-0.196,0,0
6659,2,-0.229,-0.196,0,0
6661,2,-0.229,-0.196,0,0
6663,2,-0.229,-0.196,0,0
6665,2,-0.229,-0.196,0,0
6667,2,-0.229,-0.196,0,0
6669,2,-0.229,-0.196,0,0
6671,2,-0.229,-0.196,0,0
6673,2,-0.229,-0.196,0,0
6675,2,-0.229,-0.196,0,0
6677,2,-0.229,-0.196,0,0
6678,2,-0.229,-0.196,0,0
6680,2,-0.229,-0.196,0,0
6682,2,-0.229,-0.196,0,0
6685,2,-0.229,-0.196,0,0
6687,2,-0.229,-0.196,0,0
6688,2,-0.229,-0.196,0,0
6690,2,-0.229,-0.196,0,0
6692,2,-0.229,-0.196,0,0
6694,2,-0.229,-0.196,0,0
6696,2,-0.229,-0.196,0,0
6698,2,-0.229,-0.196,0,0
6700,2,-0.229,-0.196,0,0
6702,2,-0.229,-0.196,0,0
6704,2,-0.229,-0.196,0,0
6706,2,-0.229,-0.196,0,0
6708,2,-0.229,-0.196,0,0
6710,2,-0.229,-0.196,0,0
6712,2,-0.229,-0.196,0,0
6714,2,-0.229,-0.196,0,0
6716,2,-0.229,-0.196,0,0
6718,2,-0.229,-0.196,0,0
6720,2,-0.229,-0.196,0,0
6722,2,-0.229,-0.196,0,0
6724,2,-0.229,-0.196,0,0
6726,2,-0.229,-0.196,0,0
6728,2,-0.229,-0.196,0,0
6730,2,-0.229,-0.196,0,0
6732,2,-0.229,-0.196,0,0
6734,2,-0.229,-0.196,0,0
6736,2,-0.229,-0.196,0,0
6738,2,-0.229,-0.196,0,0
6740,2,-0.229,-0.196,0,0
6742,2,-0.229,-0.196,0,0
6744,2,-0.229,-0.196,0,0
6746,2,-0.229,-0.196,0,0
6748,2,-0.229,-0.196,0,0
6750,2,-0.229,-0.196,0,0
6752,2,-0.229,-0.196,0,0
6754,2,-0.229,-0.196,0,0
6756,2,-0.229,-0.196,0,0
6756,2,-0.229,-0.196,0,0
6759,2,-0.229,-0.196,0,0
6761,2,-0.229,-0.196,0,0
6764,2,-0.229,-0.196,0,0
6766,2,-0.229,-0.196,0,0
6767,2,-0.229,-0.196,0,0
6769,2,-0.229,-0.196,0,0
6771,2,-0.229,-0.196,0,0
6773,2,-0.229,-0.196,0,0
