fric_set,key_v,mouse_x,mouse_y,pitch_rel,shoot_mode,vx_set,vy_set,wz_set,yaw_abs
0.0,6,-1,0,-0.207,0,-1.393,-0.001,-0.441,-0.053
0.0,6,-1,0,-0.209,0,-1.462,0.082,-0.366,-0.053
0.0,6,-3,-1,-0.21,0,-1.524,0.162,-0.293,-0.052
0.0,6,-3,-1,-0.21,0,-1.579,0.235,-0.205,-0.051
0.0,6,-1,-1,-0.21,0,-1.629,0.304,-0.107,-0.049
0.0,6,-1,-1,-0.21,0,-1.674,0.365,0.022,-0.046
0.0,6,-1,-1,-0.21,0,-1.714,0.422,0.161,-0.043
0.0,4,0,0,-0.211,0,-0.014,0.524,0.311,-0.04
0.0,4,0,0,-0.207,0,-0.017,0.581,0.487,-0.037
0.0,0,0,0,-0.213,0,0.0,0.0,0.674,-0.033
0.0,0,0,0,-0.213,0,0.0,0.0,0.843,-0.032
0.0,0,-3,-1,-0.207,0,0.0,0.0,1.02,-0.032
0.0,0,-3,-1,-0.21,0,0.0,0.0,1.202,-0.031
0.0,8,-1,0,-0.209,0,0.001,-0.044,1.288,-0.03
0.0,8,-3,-1,-0.207,0,0.004,-0.128,1.294,-0.029
0.0,8,-3,-1,-0.21,0,0.007,-0.208,1.3,-0.029
0.0,8,-3,-1,-0.21,0,0.01,-0.283,1.306,-0.028
0.0,8,-3,-1,-0.208,0,0.014,-0.353,1.319,-0.027
0.0,1,-1,0,-0.209,0,0.16,0.006,1.337,-0.025
0.0,1,-1,-1,-0.207,0,0.366,0.016,1.362,-0.022
0.0,1,-1,-1,-0.209,0,0.55,0.026,1.386,-0.019
0.0,1,-1,-1,-0.208,0,0.712,0.036,1.411,-0.016
0.0,1,-3,0,-0.208,0,0.857,0.046,1.435,-0.013
0.0,1,-3,0,-0.207,0,0.985,0.056,1.46,-0.011
0.0,1,-3,0,-0.207,0,1.098,0.065,1.478,-0.008
0.0,1,-3,0,-0.208,0,1.199,0.074,1.497,-0.006
0.0,1,-6,-3,-0.207,0,1.288,0.084,1.521,-0.003
0.0,1,-6,-3,-0.207,0,1.367,0.094,1.552,0.0
0.0,0,-9,-3,-0.207,0,0.0,0.0,1.607,0.004
0.0,0,-9,-3,-0.209,0,0.0,0.0,1.656,0.01
0.0,4,-4,-1,-0.203,0,-0.005,0.061,1.724,0.018
0.0,4,-4,0,-0.2,0,-0.014,0.144,1.797,0.027
0.0,4,-4,0,-0.2,0,-0.024,0.222,1.871,0.036
0.0,4,-4,-1,-0.197,0,-0.034,0.295,1.932,0.044
0.0,4,-4,-1,-0.197,0,-0.045,0.364,1.981,0.05
0.0,4,-6,-3,-0.198,0,-0.054,0.429,2.006,0.053
0.0,4,-4,-1,-0.197,0,-0.063,0.491,2.03,0.056
0.0,4,-4,-1,-0.197,0,-0.072,0.548,2.049,0.058
0.0,4,-4,-1,-0.197,0,-0.08,0.603,2.061,0.06
0.0,4,-4,-1,-0.197,0,-0.089,0.654,2.092,0.062
0.0,4,-4,-1,-0.197,0,-0.098,0.702,2.116,0.065
0.0,6,-6,-7,-0.197,0,-0.177,0.737,2.147,0.069
0.0,6,-6,-7,-0.197,0,-0.402,0.746,2.19,0.074
0.0,6,-6,-7,-0.197,0,-0.604,0.754,2.245,0.081
0.0,6,-6,-7,-0.196,0,-0.784,0.76,2.3,0.088
