event_bits,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,1,0,1,8734,-8662,284400.0,1,3,2,84361,1,1687263,0,0.0,0
1048832,0,0,0,1,0,1,9050,-9057,284400.0,1,3,2,84362,1,1687283,0,0.0,0
1048832,0,0,0,1,0,1,9234,-9296,284400.0,1,3,2,84363,1,1687303,0,0.0,0
1048832,0,0,0,1,0,1,9391,-9476,284400.0,1,3,2,84364,1,1687323,0,0.0,0
1048832,0,0,0,1,0,1,9471,-9633,284400.0,1,3,2,84365,1,1687343,0,0.0,0
1048832,0,0,0,1,0,1,9542,-9683,284400.0,1,3,2,84366,1,1687363,0,0.0,0
1048832,0,0,0,1,0,1,9559,-9765,284400.0,1,3,2,84367,1,1687383,0,0.0,0
1048832,0,0,0,1,0,1,9621,-9786,284400.0,1,3,2,84368,1,1687403,0,0.0,0
1048832,0,0,0,1,0,1,9630,-9838,284400.0,1,3,2,84369,1,1687423,0,0.0,0
1048832,0,0,0,1,0,1,9649,-9834,284400.0,1,3,2,84370,1,1687443,0,0.0,0
1048832,0,0,0,1,0,1,9655,-9836,284400.0,1,3,2,84371,1,1687463,0,0.0,0
1048832,0,0,0,1,0,1,9699,-9869,284400.0,1,3,2,84372,1,1687483,0,0.0,0
1048832,0,0,0,1,0,1,9670,-9873,284400.0,1,3,2,84373,1,1687503,0,0.0,0
1048832,0,0,0,1,0,1,9703,-9880,284400.0,1,3,2,84374,1,1687523,0,0.0,0
1048832,0,0,0,1,0,1,9676,-9903,284400.0,1,3,2,84375,1,1687543,0,0.0,0
1048832,0,0,0,1,0,1,9686,-9922,284400.0,1,3,2,84376,1,1687563,0,0.0,0
1048832,0,0,0,1,0,1,9720,-9915,284400.0,1,3,2,84377,1,1687583,0,0.0,0
1048832,0,0,0,1,0,1,9690,-9909,284400.0,1,3,2,84378,1,1687603,0,0.0,0
1048832,0,0,0,1,0,1,9709,-9907,284400.0,1,3,2,84379,1,1687623,0,0.0,0
1048832,0,0,0,1,0,1,9713,-9899,284400.0,1,3,2,84380,1,1687643,0,0.0,0
