event_bits,evt_cmd_burst_toggle,evt_cmd_high_freq_toggle,evt_cmd_reverse_trigger,evt_fn1_cur,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,0,0,1,1,9670,-9884,311400.0,1,3,2,89482,1,1789683,0,0.0,0
1048832,0,0,0,0,0,1,1,9718,-9899,311400.0,1,3,2,89483,1,1789703,0,0.0,0
1048832,0,0,0,0,0,1,1,9682,-9913,311400.0,1,3,2,89484,1,1789723,0,0.0,0
1048832,0,0,0,0,0,1,1,9682,-9907,311400.0,1,3,2,89485,1,1789743,0,0.0,0
1048832,0,0,0,0,0,1,1,9699,-9899,311400.0,1,3,2,89486,1,1789763,0,0.0,0
1048832,0,0,0,0,0,1,1,9667,-9903,311400.0,1,3,2,89487,1,1789783,0,0.0,0
1048832,0,0,0,0,0,1,1,9684,-9897,311400.0,1,3,2,89488,1,1789803,0,0.0,0
1048832,0,0,0,0,0,1,1,9690,-9880,311400.0,1,3,2,89489,1,1789823,0,0.0,0
1048832,0,0,0,0,0,1,1,9670,-9869,311400.0,1,3,2,89490,1,1789843,0,0.0,0
1048832,0,0,0,0,0,1,1,9713,-9884,311400.0,1,3,2,89491,1,1789863,0,0.0,0
1048832,0,0,0,0,0,1,1,9680,-9863,311400.0,1,3,2,89492,1,1789883,0,0.0,0
1048832,0,0,0,0,0,1,1,9684,-9861,311400.0,1,3,2,89493,1,1789903,0,0.0,0
1048832,0,0,0,0,0,1,1,9699,-9880,311400.0,1,3,2,89494,1,1789923,0,0.0,0
1048832,0,0,0,0,0,1,1,9672,-9878,311400.0,1,3,2,89495,1,1789943,0,0.0,0
1048832,0,0,0,0,0,1,1,9705,-9894,311400.0,1,3,2,89496,1,1789963,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9911,311400.0,1,3,2,89497,1,1789983,0,0.0,0
1048832,0,0,0,0,0,1,1,9676,-9907,311400.0,1,3,2,89498,1,1790003,0,0.0,0
1048832,0,0,0,0,0,1,1,9713,-9899,311400.0,1,3,2,89499,1,1790023,0,0.0,0
1048832,0,0,0,0,0,1,1,9682,-9903,311400.0,1,3,2,89500,1,1790043,0,0.0,0
1048832,0,0,0,0,0,1,1,9695,-9901,311400.0,1,3,2,89501,1,1790063,0,0.0,0
1048832,0,0,0,0,0,1,1,9697,-9892,311400.0,1,3,2,89502,1,1790083,0,0.0,0
1048832,0,0,0,0,0,1,1,9674,-9880,311400.0,1,3,2,89503,1,1790103,0,0.0,0
1048832,0,0,0,0,0,1,1,9709,-9884,311400.0,1,3,2,89504,1,1790123,0,0.0,0
1048832,0,0,0,0,0,1,1,9672,-9865,311400.0,1,3,2,89505,1,1790143,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9861,311400.0,1,3,2,89506,1,1790163,0,0.0,0
1048832,0,0,0,0,0,1,1,9709,-9871,311400.0,1,3,2,89507,1,1790183,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9867,311400.0,1,3,2,89508,1,1790203,0,0.0,0
1049856,0,0,0,0,1,1,1,9701,-9886,311400.0,1,3,2,89509,1,1790223,0,0.0,0
1049856,0,0,0,0,1,1,1,9674,-9899,311400.0,1,3,2,89510,1,1790243,0,0.0,0
1049856,0,0,0,0,1,1,1,9680,-9899,311400.0,1,3,2,89511,1,1790263,0,0.0,0
1049856,0,0,0,0,1,1,1,9709,-9899,311400.0,1,3,2,89512,1,1790283,0,0.0,0
1049856,0,0,0,0,1,1,1,9678,-9911,311400.0,1,3,2,89513,1,1790303,0,0.0,0
1049856,0,0,0,0,1,1,1,9699,-9905,311400.0,1,3,2,89514,1,1790323,0,0.0,0
1049856,0,0,0,0,1,1,1,9680,-9903,311400.0,1,3,2,89515,1,1790343,0,0.0,0
1049856,0,0,0,0,1,1,1,9676,-9888,311400.0,1,3,2,89516,1,1790363,0,0.0,0
1048832,0,0,0,0,0,1,1,9701,-9890,311400.0,1,3,2,89517,1,1790383,0,0.0,0
1048832,0,0,0,0,0,1,1,9663,-9873,311400.0,1,3,2,89518,1,1790403,0,0.0,0
1048832,0,0,0,0,0,1,1,9680,-9865,311400.0,1,3,2,89519,1,1790423,0,0.0,0
1048832,0,0,0,0,0,1,1,9701,-9878,311400.0,1,3,2,89520,1,1790443,0,0.0,0
1048832,0,0,0,0,0,1,1,9674,-9876,311400.0,1,3,2,89521,1,1790463,0,0.0,0
1048832,0,0,0,0,0,1,1,9701,-9857,311400.0,1,3,2,89522,1,1790483,0,0.0,0
1048832,0,0,0,0,0,1,1,9672,-9880,311400.0,1,3,2,89523,1,1790503,0,0.0,0
1048832,0,0,0,0,0,1,1,9697,-9888,311400.0,1,3,2,89524,1,1790523,0,0.0,0
1048832,0,0,0,0,0,1,1,9709,-9884,311400.0,1,3,2,89525,1,1790543,0,0.0,0
1048832,0,0,0,0,0,1,1,9653,-9913,311400.0,1,3,2,89526,1,1790563,0,0.0,0
1048832,0,0,0,0,0,1,1,9688,-9903,311400.0,1,3,2,89527,1,1790583,0,0.0,0
1048832,0,0,0,0,0,1,1,9682,-9897,311400.0,1,3,2,89528,1,1790603,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9884,311400.0,1,3,2,89529,1,1790623,0,0.0,0
1048832,0,0,0,0,0,1,1,9699,-9892,311400.0,1,3,2,89530,1,1790643,0,0.0,0
1048832,0,0,0,0,0,1,1,9674,-9869,311400.0,1,3,2,89531,1,1790663,0,0.0,0
1048832,0,0,0,0,0,1,1,9697,-9867,311400.0,1,3,2,89532,1,1790683,0,0.0,0
1048832,0,0,0,0,0,1,1,9701,-9871,311400.0,1,3,2,89533,1,1790703,0,0.0,0
1048832,0,0,0,0,0,1,1,9653,-9869,311400.0,1,3,2,89534,1,1790723,0,0.0,0
1048832,0,0,0,0,0,1,1,9688,-9850,311400.0,1,3,2,89535,1,1790743,0,0.0,0
