fric1_rpm,fric_set,i1,i2,i3,i4,key_v,pitch_cur,shoot_mode,yaw_cur
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
-3,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
-3,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
