event_bits,evt_cmd_burst_toggle,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,1,3,2,59502,0,1190083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59503,0,1190103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59504,0,1190123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59505,0,1190143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59506,0,1190163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59507,0,1190183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59508,0,1190203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59509,0,1190223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59510,0,1190243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59511,0,1190263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59512,0,1190283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59513,0,1190303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59514,0,1190323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59515,0,1190343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59516,0,1190363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59517,0,1190383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59518,0,1190403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59519,0,1190423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59520,0,1190443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59521,0,1190463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59522,0,1190483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59523,0,1190503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59524,0,1190523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59525,0,1190543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59526,0,1190563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59527,0,1190583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59528,0,1190603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59529,0,1190623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59530,0,1190643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59531,0,1190663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59532,0,1190683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59533,0,1190703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59534,0,1190723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59535,0,1190743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59536,0,1190763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59537,0,1190783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59538,0,1190803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59539,0,1190823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59540,0,1190843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59541,0,1190863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59542,0,1190883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59543,0,1190903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59544,0,1190923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59545,0,1190943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59546,0,1190963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59547,0,1190983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59548,0,1191003,0,0.0,0
