bullet_cnt,fric1_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
17,4766,43.584,6,-10000,686191,661750,9.783
17,4869,43.344,2,0,682654,661750,-4.69
17,4840,43.104,2,0,677261,661750,-5.756
17,4900,42.864,2,0,675102,661750,-1.811
17,4863,42.624,2,0,675908,661750,0.952
17,4877,42.384,2,0,676296,661750,0.34
17,4919,42.144,2,0,676279,661750,-0.031
17,4867,41.904,2,0,676279,661750,0.001
17,4911,41.664,2,0,676285,661750,0.004
17,4869,41.424,2,0,676285,661750,0.0
17,4861,41.184,2,0,676290,661750,0.003
17,4903,40.944,2,0,676291,661750,0.0
17,4869,40.704,2,0,676296,661750,0.001
17,4896,40.464,2,0,676303,661750,0.005
17,4879,40.224,2,0,676307,661750,0.001
17,4873,39.984,2,0,676313,661750,0.002
17,4905,39.744,2,0,676317,661750,0.002
17,4875,39.504,2,0,676317,661750,0.0
17,4869,39.264,2,0,676317,661750,0.0
17,4907,39.024,2,0,676326,661750,0.007
17,4894,38.784,2,0,676339,661750,0.012
17,4856,38.544,2,0,676339,661750,0.0
17,4903,38.304,2,0,676339,661750,0.0
17,4867,38.064,4,10000,678279,698614,2.255
17,4894,37.824,4,10000,691293,698614,15.126
18,4846,47.584,6,-10000,711685,698614,22.403
18,4752,47.344,6,-10000,721268,698614,9.168
18,4833,47.104,6,-10000,716997,698614,-5.738
18,4900,46.864,6,-10000,707129,698614,-9.981
18,4877,46.624,6,-10000,707761,698614,0.773
18,4882,46.383,2,0,709548,698614,2.129
18,4909,46.143,2,0,713865,698614,4.694
18,4844,45.903,2,0,716618,698614,2.8
18,4905,45.663,2,0,718384,698614,1.802
18,4867,45.423,2,0,719502,698614,1.081
18,4877,45.183,2,0,720028,698614,0.553
18,4919,44.943,2,0,720097,698614,0.001
18,4907,44.703,2,0,719968,698614,-0.162
18,4869,44.463,2,0,719961,698614,-0.007
