shoot_mode,trigger_spd,trigger_spd_set,trigger_ecd_fdb,trigger_ecd_set,bullet_cnt,trigger_cur,trigger_sw,reverse_flag,local_heat,referee_heat
2,-21.378,-8000.0,45684,0,0,-8000,0,0,0.0,0
2,-33.218,-6782.939,14967,0,0,-8000,0,0,0.0,0
2,-41.5,8000.0,-33611,0,0,8000,0,0,0.0,0
2,-27.024,8000.0,-60272,0,0,8000,0,0,0.0,0
2,-9.572,8000.0,-62351,0,0,8000,0,0,0.0,0
2,3.374,8000.0,-60077,0,0,8000,0,0,0.0,0
2,14.594,8000.0,-47374,0,0,8000,0,0,0.0,0
2,25.615,8000.0,-24166,0,0,8000,0,0,0.0,0
2,36.78,-4427.967,9580,0,0,-8000,0,0,0.0,0
2,33.626,-8000.0,26637,0,0,-8000,0,0,0.0,0
2,17.03,-8000.0,43811,0,0,-8000,0,0,0.0,0
2,2.221,-8000.0,46873,0,0,-8000,0,0,0.0,0
2,-10.009,-8000.0,38173,0,0,-8000,0,0,0.0,0
2,-21.744,-8000.0,18751,0,0,-8000,0,0,0.0,0
2,-33.477,3825.126,-11830,0,0,8000,0,0,0.0,0
2,-30.553,8000.0,-40885,0,0,8000,0,0,0.0,0
2,-14.247,8000.0,-55595,0,0,8000,0,0,0.0,0
2,0.308,8000.0,-56076,0,0,8000,0,0,0.0,0
2,11.705,8000.0,-53741,0,0,8000,0,0,0.0,0
2,22.803,8000.0,-34034,0,0,8000,0,0,0.0,0
2,34.033,3160.08,-9739,0,0,8000,0,0,0.0,0
2,41.41,-8000.0,28706,0,0,-8000,0,0,0.0,0
2,29.662,-8000.0,57203,0,0,-8000,0,0,0.0,0
2,12.262,-8000.0,69563,0,0,-8000,0,0,0.0,0
2,-1.748,-8000.0,68349,0,0,-8000,0,0,0.0,0
2,-14.107,-8000.0,55614,0,0,-8000,0,0,0.0,0
2,-26.014,-8000.0,31753,0,0,-8000,0,0,0.0,0
2,-38.393,179.721,-3565,0,0,8000,0,0,0.0,0
2,-40.693,8000.0,-42087,0,0,8000,0,0,0.0,0
2,-23.593,8000.0,-65280,0,0,8000,0,0,0.0,0
2,-6.885,8000.0,-73017,0,0,8000,0,0,0.0,0
2,5.391,8000.0,-68866,0,0,8000,0,0,0.0,0
2,16.799,8000.0,-53177,0,0,8000,0,0,0.0,0
2,28.138,8000.0,-27535,0,0,8000,0,0,0.0,0
2,39.196,-7347.44,17232,0,0,-8000,0,0,0.0,0
2,37.555,-8000.0,52859,0,0,-8000,0,0,0.0,0
2,21.085,-8000.0,73546,0,0,-8000,0,0,0.0,0
