bullet_cnt,rc_s0,rc_s1,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set
45,3,2,2,0,3316457,3316457,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,2,0,3316458,3316458,0.0
45,3,2,5,488,3316458,3316458,15.0
45,3,2,5,1387,3316469,3316458,15.0
45,3,2,5,2196,3316833,3316458,15.0
