evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set,vt03_toe
0,1,0,1,9450,-9685,93400.0,3,2,146704,2934123,0,27960368,27960356,0.0,0
0,1,0,1,9443,-9645,93400.0,3,2,146705,2934143,0,27960368,27960356,0.0,0
0,1,0,1,9458,-9689,93400.0,3,2,146706,2934163,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9658,93400.0,3,2,146707,2934183,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9668,93400.0,3,2,146708,2934203,0,27960368,27960356,0.0,0
0,1,0,1,9504,-9679,93400.0,3,2,146709,2934223,0,27960368,27960356,0.0,0
0,1,0,1,9490,-9668,93400.0,3,2,146710,2934243,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9694,93400.0,3,2,146711,2934263,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9647,93400.0,3,2,146712,2934283,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9679,93400.0,3,2,146713,2934303,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9687,93400.0,3,2,146714,2934323,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9673,93400.0,3,2,146715,2934343,0,27960368,27960356,0.0,0
0,1,0,1,9475,-9687,93400.0,3,2,146716,2934363,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9643,93400.0,3,2,146717,2934383,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9698,93400.0,3,2,146718,2934403,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9660,93400.0,3,2,146719,2934423,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9679,93400.0,3,2,146720,2934443,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9656,93400.0,3,2,146721,2934463,0,27960368,27960356,0.0,0
0,1,0,1,9454,-9662,93400.0,3,2,146722,2934483,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9698,93400.0,3,2,146723,2934503,0,27960368,27960356,0.0,0
0,1,0,1,9485,-9666,93400.0,3,2,146724,2934523,0,27960368,27960356,0.0,0
0,1,0,1,9502,-9696,93400.0,3,2,146725,2934543,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9652,93400.0,3,2,146726,2934563,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9696,93400.0,3,2,146727,2934583,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9679,93400.0,3,2,146728,2934603,0,27960368,27960356,0.0,0
0,1,0,1,9452,-9641,93400.0,3,2,146729,2934623,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9685,93400.0,3,2,146730,2934643,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9656,93400.0,3,2,146731,2934663,0,27960368,27960356,0.0,0
