event_bits,evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0,0,0.0,1,3,2,73200,0,1464043,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73201,0,1464063,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73202,0,1464083,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73203,0,1464103,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73204,0,1464123,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73205,0,1464143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73206,0,1464163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73207,0,1464183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73208,0,1464203,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73209,0,1464223,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73210,0,1464243,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73211,0,1464263,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73212,0,1464283,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73213,0,1464303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73214,0,1464323,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73215,0,1464343,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73216,0,1464363,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73217,0,1464383,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73218,0,1464403,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73219,0,1464423,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73220,0,1464443,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73221,0,1464463,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73222,0,1464483,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73223,0,1464503,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73224,0,1464523,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73225,0,1464543,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73226,0,1464563,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73227,0,1464583,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73228,0,1464603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73229,0,1464623,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73230,0,1464643,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73231,0,1464663,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73232,0,1464683,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73233,0,1464703,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73234,0,1464723,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73235,0,1464743,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73236,0,1464763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73237,0,1464783,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73238,0,1464803,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73239,0,1464823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73240,0,1464843,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73241,0,1464863,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73242,0,1464883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73243,0,1464903,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73244,0,1464923,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73245,0,1464943,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73246,0,1464963,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73247,0,1464983,0,0.0,0
1048832,0,0,1,1,0,-9,0.0,1,3,2,73248,0,1465003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73249,0,1465023,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73250,0,1465043,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73251,0,1465063,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73252,0,1465083,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73253,0,1465103,0,0.0,0
1048832,0,0,1,1,0,-7,0.0,1,3,2,73254,0,1465123,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73255,0,1465143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73256,0,1465163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73257,0,1465183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73258,0,1465203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73259,0,1465223,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73260,0,1465243,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73261,0,1465263,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73262,0,1465283,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73263,0,1465303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73264,0,1465323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73265,0,1465343,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73266,0,1465363,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73267,0,1465383,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73268,0,1465403,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73269,0,1465423,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73270,0,1465443,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73271,0,1465463,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73272,0,1465483,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73273,0,1465503,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73274,0,1465523,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73275,0,1465543,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73276,0,1465563,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73277,0,1465583,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73278,0,1465603,0,0.0,0
