event_bits,evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1050880,0,1,1,1,0,-3,0.0,1,3,2,65689,0,1313823,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65690,0,1313843,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65691,0,1313863,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65692,0,1313883,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65693,0,1313903,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65694,0,1313923,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65695,0,1313943,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65696,0,1313963,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65697,0,1313983,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65698,0,1314003,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65699,0,1314023,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65700,0,1314043,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65701,0,1314063,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65702,0,1314083,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65703,0,1314103,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65704,0,1314123,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65705,0,1314143,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65706,0,1314163,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65707,0,1314183,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65708,0,1314203,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65709,0,1314223,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65710,0,1314243,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65711,0,1314263,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65712,0,1314283,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65713,0,1314303,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65714,0,1314323,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65715,0,1314343,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65716,0,1314363,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65717,0,1314383,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65718,0,1314403,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65719,0,1314423,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65720,0,1314443,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65721,0,1314463,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65722,0,1314483,0,0.0,0
1048832,0,1,0,1,0,-7,0.0,1,3,2,65723,0,1314503,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65724,0,1314523,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65725,0,1314543,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65726,0,1314563,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65727,0,1314583,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65728,0,1314603,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65729,0,1314623,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65730,0,1314643,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65731,0,1314663,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65732,0,1314683,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65733,0,1314703,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65734,0,1314723,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65735,0,1314743,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65736,0,1314763,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65737,0,1314783,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65738,0,1314803,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65739,0,1314823,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65740,0,1314843,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65741,0,1314863,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65742,0,1314883,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65743,0,1314903,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65744,0,1314923,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65745,0,1314943,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65746,0,1314963,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65747,0,1314983,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65748,0,1315003,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65749,0,1315023,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65750,0,1315043,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65751,0,1315063,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65752,0,1315083,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65753,0,1315103,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65754,0,1315123,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65755,0,1315143,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65756,0,1315163,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65757,0,1315183,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65758,0,1315203,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65759,0,1315223,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65760,0,1315243,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65761,0,1315263,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65762,0,1315283,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65763,0,1315303,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65764,0,1315323,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65765,0,1315343,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65766,0,1315363,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65767,0,1315383,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65768,0,1315403,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65769,0,1315423,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65770,0,1315443,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65771,0,1315463,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65772,0,1315483,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65773,0,1315503,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65774,0,1315523,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65775,0,1315543,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65776,0,1315563,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65777,0,1315583,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65778,0,1315603,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65779,0,1315623,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65780,0,1315643,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65781,0,1315663,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65782,0,1315683,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65783,0,1315703,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65784,0,1315723,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65785,0,1315743,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65786,0,1315763,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65787,0,1315783,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65788,0,1315803,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65789,0,1315823,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65790,0,1315843,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65791,0,1315863,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65792,0,1315883,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65793,0,1315903,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65794,0,1315923,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65795,0,1315943,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65796,0,1315963,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65797,0,1315983,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65798,0,1316003,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65799,0,1316023,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65800,0,1316043,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65801,0,1316063,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65802,0,1316083,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65803,0,1316103,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65804,0,1316123,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65805,0,1316143,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65806,0,1316163,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65807,0,1316183,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65808,0,1316203,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65809,0,1316223,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65810,0,1316243,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65811,0,1316263,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65812,0,1316283,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65813,0,1316303,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65814,0,1316323,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65815,0,1316343,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65816,0,1316363,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65817,0,1316383,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65818,0,1316403,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65819,0,1316423,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65820,0,1316443,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65821,0,1316463,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65822,0,1316483,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65823,0,1316503,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65824,0,1316523,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65825,0,1316543,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65826,0,1316563,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65827,0,1316583,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65828,0,1316603,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65829,0,1316623,0,0.0,0
