event_bits,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_fn2_cur,evt_pause_cur,evt_trigger_cur,evt_vt03_online,fric_set,rc_s0,rc_s1,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641403,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641423,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641443,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641463,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641483,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641503,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641523,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641543,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641563,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641583,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641603,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641623,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641643,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641663,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641683,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641703,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641723,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641743,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641763,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641783,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641803,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641823,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641843,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641863,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641883,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641903,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641923,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641943,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641963,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641983,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642003,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642023,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642043,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642063,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642083,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642103,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642123,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642143,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642163,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642183,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642203,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642223,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642243,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642263,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642283,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642303,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642323,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642343,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642363,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642383,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642403,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642423,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642443,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642463,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,642483,0,0.0,0
