evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1,0,1,9439,-9650,93400.0,3,2,150706,3014163,0,0.0,0
1,0,1,9456,-9666,93400.0,3,2,150707,3014183,0,0.0,0
1,0,1,9473,-9645,93400.0,3,2,150708,3014203,0,0.0,0
1,0,1,9485,-9677,93400.0,3,2,150709,3014223,0,0.0,0
1,0,1,9481,-9633,93400.0,3,2,150710,3014243,0,0.0,0
1,0,1,9475,-9685,93400.0,3,2,150711,3014263,0,0.0,0
1,0,1,9458,-9645,93400.0,3,2,150712,3014283,0,0.0,0
1,0,1,9452,-9679,93400.0,3,2,150713,3014303,0,0.0,0
1,0,1,9454,-9635,93400.0,3,2,150714,3014323,0,0.0,0
1,0,1,9454,-9668,93400.0,3,2,150715,3014343,0,0.0,0
1,0,1,9454,-9662,93400.0,3,2,150716,3014363,0,0.0,0
1,0,1,9443,-9666,93400.0,3,2,150717,3014383,0,0.0,0
1,0,1,9452,-9660,93400.0,3,2,150718,3014403,0,0.0,0
1,0,1,9464,-9643,93400.0,3,2,150719,3014423,0,0.0,0
1,0,1,9479,-9679,93400.0,3,2,150720,3014443,0,0.0,0
1,0,1,9490,-9654,93400.0,3,2,150721,3014463,0,0.0,0
1,0,1,9490,-9677,93400.0,3,2,150722,3014483,0,0.0,0
1,0,1,9469,-9637,93400.0,3,2,150723,3014503,0,0.0,0
1,0,1,9467,-9679,93400.0,3,2,150724,3014523,0,0.0,0
1,0,1,9452,-9645,93400.0,3,2,150725,3014543,0,0.0,0
1,0,1,9450,-9671,93400.0,3,2,150726,3014563,0,0.0,0
1,0,1,9454,-9633,93400.0,3,2,150727,3014583,0,0.0,0
1,0,1,9450,-9660,93400.0,3,2,150728,3014603,0,0.0,0
1,0,1,9454,-9662,93400.0,3,2,150729,3014623,0,0.0,0
1,0,1,9464,-9660,93400.0,3,2,150730,3014643,0,0.0,0
1,0,1,9473,-9656,93400.0,3,2,150731,3014663,0,0.0,0
1,0,1,9492,-9643,93400.0,3,2,150732,3014683,0,0.0,0
1,0,1,9487,-9673,93400.0,3,2,150733,3014703,0,0.0,0
1,0,1,9475,-9652,93400.0,3,2,150734,3014723,0,0.0,0
1,0,1,9460,-9666,93400.0,3,2,150735,3014743,0,0.0,0
1,0,1,9452,-9622,93400.0,3,2,150736,3014763,0,0.0,0
1,0,1,9452,-9675,93400.0,3,2,150737,3014783,0,0.0,0
1,0,1,9448,-9643,93400.0,3,2,150738,3014803,0,0.0,0
1,0,1,9450,-9671,93400.0,3,2,150739,3014823,0,0.0,0
1,0,1,9458,-9627,93400.0,3,2,150740,3014843,0,0.0,0
1,0,1,9467,-9666,93400.0,3,2,150741,3014863,0,0.0,0
1,0,1,9469,-9660,93400.0,3,2,150742,3014883,0,0.0,0
1,0,1,9477,-9666,93400.0,3,2,150743,3014903,0,0.0,0
1,0,1,9492,-9656,93400.0,3,2,150744,3014923,0,0.0,0
1,0,1,9477,-9645,93400.0,3,2,150745,3014943,0,0.0,0
1,0,1,9464,-9675,93400.0,3,2,150746,3014963,0,0.0,0
1,0,1,9448,-9652,93400.0,3,2,150747,3014983,0,0.0,0
1,0,1,9433,-9675,93400.0,3,2,150748,3015003,0,0.0,0
1,0,1,9446,-9622,93400.0,3,2,150749,3015023,0,0.0,0
1,0,1,9450,-9675,93400.0,3,2,150750,3015043,0,0.0,0
1,0,1,9460,-9637,93400.0,3,2,150751,3015063,0,0.0,0
1,0,1,9469,-9685,93400.0,3,2,150752,3015083,0,0.0,0
1,0,1,9464,-9627,93400.0,3,2,150753,3015103,0,0.0,0
1,0,1,9471,-9671,93400.0,3,2,150754,3015123,0,0.0,0
1,0,1,9469,-9633,93400.0,3,2,150755,3015143,0,0.0,0
1,0,1,9483,-9666,93400.0,3,2,150756,3015163,0,0.0,0
1,0,1,9464,-9650,93400.0,3,2,150757,3015183,0,0.0,0
1,0,1,9458,-9647,93400.0,3,2,150758,3015203,0,0.0,0
1,0,1,9433,-9673,93400.0,3,2,150759,3015223,0,0.0,0
1,0,1,9429,-9656,93400.0,3,2,150760,3015243,0,0.0,0
1,0,1,9443,-9666,93400.0,3,2,150761,3015263,0,0.0,0
1,0,1,9460,-9624,93400.0,3,2,150762,3015283,0,0.0,0
1,0,1,9471,-9673,93400.0,3,2,150763,3015303,0,0.0,0
1,0,1,9479,-9641,93400.0,3,2,150764,3015323,0,0.0,0
1,0,1,9473,-9685,93400.0,3,2,150765,3015343,0,0.0,0
1,0,1,9475,-9631,93400.0,3,2,150766,3015363,0,0.0,0
1,0,1,9462,-9673,93400.0,3,2,150767,3015383,0,0.0,0
1,0,1,9473,-9635,93400.0,3,2,150768,3015403,0,0.0,0
1,0,1,9458,-9662,93400.0,3,2,150769,3015423,0,0.0,0
1,0,1,9452,-9639,93400.0,3,2,150770,3015443,0,0.0,0
1,0,1,9431,-9668,93400.0,3,2,150771,3015463,0,0.0,0
1,0,1,9429,-9671,93400.0,3,2,150772,3015483,0,0.0,0
1,0,1,9446,-9654,93400.0,3,2,150773,3015503,0,0.0,0
1,0,1,9460,-9668,93400.0,3,2,150774,3015523,0,0.0,0
1,0,1,9475,-9627,93400.0,3,2,150775,3015543,0,0.0,0
1,0,1,9483,-9671,93400.0,3,2,150776,3015563,0,0.0,0
1,0,1,9479,-9641,93400.0,3,2,150777,3015583,0,0.0,0
1,0,1,9473,-9683,93400.0,3,2,150778,3015603,0,0.0,0
