i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power
5763,1152,-4603,-1043,-34.0,120.0,166.7,5700
5220,1457,-4934,-934,-34.0,120.0,161.73,5700
5296,1430,-4334,-1156,-34.0,120.0,146.39,5700
5606,1309,-4761,-1679,-34.0,120.0,145.7,5700
4884,1374,-4238,-1607,-34.0,120.0,145.7,5700
5152,1486,-4278,-1840,-34.0,120.0,145.7,5700
4630,1233,-4317,-2180,-32.0,120.0,120.88,5600
4316,1065,-3380,-2708,-32.0,120.0,109.47,5600
3122,1648,-2859,-3562,-32.0,120.0,98.09,5600
1931,2101,-2123,-3853,-32.0,120.0,84.14,5600
1427,2985,-1093,-3427,-32.0,120.0,74.05,5600
1061,2888,-265,-2789,-32.0,120.0,62.24,5600
471,2424,-287,-2389,-40.0,120.0,54.04,6000
566,3047,137,-2655,-40.0,120.0,55.47,6000
220,2663,-263,-3006,-40.0,120.0,55.71,6000
321,3092,175,-2653,-40.0,120.0,53.8,6000
134,3316,211,-2477,-40.0,120.0,52.78,6000
-502,2907,219,-2812,-40.0,120.0,48.07,6000
-1076,3073,258,-2874,-40.0,120.0,47.83,6000
-1277,3290,224,-3229,-40.0,120.0,52.39,6000
-882,3300,570,-2468,-40.0,120.0,46.72,6000
-1015,3979,626,-2707,-40.0,120.0,52.1,6000
-858,4041,802,-2378,-40.0,120.0,46.23,6000
-1070,3302,370,-2980,-40.0,120.0,46.23,6000
-1142,3340,525,-2658,-40.0,120.0,46.23,6000
-9881,-4473,8510,4230,-40.0,120.0,0.0,6000
-1590,-3553,3559,-245,-40.0,120.0,9.41,6000
-1481,-2957,4012,-366,-40.0,120.0,10.05,6000
-2365,-3210,4425,741,-40.0,120.0,8.42,6000
-1880,-3065,4236,667,-40.0,120.0,8.9,6000
-2254,-3085,4602,733,-40.0,120.0,8.47,6000
-1547,-3100,4395,492,-40.0,120.0,9.4,6000
-2254,-2563,4745,621,-40.0,120.0,9.18,6000
-2084,-3049,3820,469,-40.0,120.0,9.72,6000
-2183,-2717,3596,873,-40.0,120.0,10.12,6000
-1899,-2179,4452,895,-40.0,120.0,10.02,6000
-2450,-2690,4445,695,-40.0,120.0,10.02,6000
-2833,-3361,4214,1559,-40.0,120.0,10.02,6000
-4086,-6230,5504,3617,-40.0,120.0,30.55,6000
-5266,-7897,9571,4322,-40.0,120.0,62.99,6000
-5328,-9228,10544,4630,-40.0,120.0,113.8,6000
-6815,-9504,12666,4836,-40.0,120.0,158.56,6000
-4743,-6709,9802,1738,-40.0,120.0,158.56,6000
-3906,-5497,7795,1648,-40.0,120.0,158.56,6000
-4607,-4607,8684,1795,-40.0,120.0,158.56,6000
-5097,-4672,6910,958,-32.0,120.0,142.65,5600
-4575,-4242,7486,1173,-32.0,120.0,150.52,5600
-4731,-4194,7116,913,-32.0,120.0,149.28,5600
-4551,-4166,7114,1538,-32.0,120.0,147.79,5600
-3879,-2967,6673,1313,-32.0,120.0,147.79,5600
-4356,-2059,6313,1487,-32.0,120.0,147.79,5600
-4754,-798,6679,1189,-28.0,120.0,136.48,5400
-4612,-546,6096,1245,-28.0,120.0,123.09,5400
-4485,-1062,6105,1358,-28.0,120.0,145.39,5400
-6384,-5574,6472,1539,-28.0,120.0,150.16,5400
-4826,108,5478,1274,-28.0,120.0,150.16,5400
-5175,-1176,4975,680,-28.0,120.0,150.16,5400
-4426,-1268,5108,827,-24.0,120.0,117.85,5200
-3955,-1202,4407,897,-24.0,120.0,108.41,5200
-3871,-796,4758,1319,-24.0,120.0,111.19,5200
-3495,-1227,4868,877,-24.0,120.0,116.11,5200
-3364,-1671,4368,710,-24.0,120.0,116.11,5200
-3294,-2282,4071,733,-24.0,120.0,116.11,5200
-2629,-3006,2822,1311,-24.0,120.0,89.35,5200
-1955,-2911,2155,2263,-28.0,120.0,81.21,5400
-533,-2797,1375,2827,-28.0,120.0,65.58,5400
-235,-2706,768,2851,-28.0,120.0,58.66,5400
-302,-2675,507,2277,-36.0,120.0,54.9,5800
144,-2102,635,2108,-36.0,120.0,49.26,5800
51,-2228,512,2426,-36.0,120.0,51.12,5800
-260,-2599,43,2476,-40.0,120.0,51.63,6000
61,-2059,276,2397,-40.0,120.0,48.55,6000
-171,-2554,-36,1716,-40.0,120.0,47.24,6000
248,-1730,140,2526,-40.0,120.0,45.92,6000
