evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,0,1,0,0,0.0,2,2,139895,2797943,0,0
0,0,1,0,0,0.0,2,2,139896,2797963,0,0
0,0,1,0,0,0.0,2,2,139897,2797983,0,0
0,0,1,0,0,0.0,2,2,139898,2798003,0,0
0,0,1,0,0,0.0,2,2,139899,2798023,0,0
0,0,1,0,0,0.0,2,2,139900,2798043,0,0
0,0,1,0,0,0.0,2,2,139901,2798063,0,0
0,0,1,0,0,0.0,2,2,139902,2798083,0,0
0,0,1,0,0,0.0,2,2,139903,2798103,0,0
0,0,1,0,0,0.0,2,2,139904,2798123,0,0
0,0,1,0,0,0.0,2,2,139905,2798143,0,0
0,0,1,0,0,0.0,2,2,139906,2798163,0,0
0,0,1,0,0,0.0,2,2,139907,2798183,0,0
0,0,1,0,0,0.0,2,2,139908,2798203,0,0
0,0,1,0,0,0.0,2,2,139909,2798223,0,0
0,0,1,0,0,0.0,2,2,139910,2798243,0,0
0,0,1,0,0,0.0,2,2,139911,2798263,0,0
0,0,1,0,0,0.0,2,2,139912,2798283,0,0
0,0,1,0,0,0.0,2,2,139913,2798303,0,0
0,0,1,0,0,0.0,2,2,139914,2798323,0,0
0,0,1,0,0,0.0,2,2,139915,2798343,0,0
0,0,1,0,0,0.0,2,2,139916,2798363,0,0
0,0,1,0,0,0.0,2,2,139917,2798383,0,0
0,0,1,0,0,0.0,2,2,139918,2798403,0,0
0,0,1,0,0,0.0,2,2,139919,2798423,0,0
0,0,1,0,0,0.0,2,2,139920,2798443,0,0
0,0,1,0,0,0.0,2,2,139921,2798463,0,0
0,0,1,0,0,0.0,2,2,139922,2798483,0,0
0,0,1,0,0,0.0,2,2,139923,2798503,0,0
0,0,1,0,0,0.0,2,2,139924,2798523,0,0
0,0,1,0,0,0.0,2,2,139925,2798543,0,0
0,0,1,0,0,0.0,2,2,139926,2798563,0,0
0,0,1,0,0,0.0,2,2,139927,2798583,0,0
0,0,1,0,0,0.0,2,2,139928,2798603,0,0
0,0,1,0,0,0.0,2,2,139929,2798623,0,0
0,0,1,0,0,0.0,2,2,139930,2798643,0,0
0,0,1,0,0,0.0,2,2,139931,2798663,0,0
0,0,1,0,0,0.0,2,2,139932,2798683,0,0
0,0,1,0,0,0.0,2,2,139933,2798703,0,0
