bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
105,4771,-4751,26.217,6,-10000,3737926,3710217,22.679
105,4850,-4853,25.977,6,-10000,3740658,3710217,1.423
105,4907,-4887,25.737,6,-10000,3736720,3710217,-13.91
105,4848,-4839,25.497,6,-10000,3715473,3710217,-24.233
105,4894,-4910,25.257,6,-10000,3718260,3710217,4.475
105,4877,-4897,25.017,6,-10000,3714070,3710217,-5.911
105,4869,-4893,24.777,6,-10000,3710782,3710217,-1.755
105,4877,-4914,24.537,2,0,3712850,3712850,3.047
105,4915,-4849,24.297,2,0,3716938,3716938,4.062
105,4844,-4899,24.057,2,0,3719174,3719174,2.262
105,4892,-4906,23.817,2,0,3720435,3720435,1.317
105,4873,-4874,23.577,2,0,3721085,3721085,0.643
105,4877,-4924,23.337,2,0,3721294,3721294,0.19
105,4926,-4853,23.097,2,0,3721286,3721286,-0.025
105,4856,-4845,22.857,2,0,3721286,3721286,0.0
105,4890,-4891,22.617,2,0,3721286,3721286,0.0
105,4877,-4904,22.377,2,0,3721286,3721286,0.0
105,4865,-4866,22.137,2,0,3721286,3721286,0.0
105,4932,-4906,21.897,2,0,3721286,3721286,0.0
105,4867,-4860,21.657,2,0,3721286,3721286,0.0
105,4898,-4887,21.417,2,0,3721286,3721286,0.0
105,4882,-4901,21.177,2,0,3721286,3721286,0.0
105,4848,-4849,20.937,2,0,3721286,3721286,0.0
105,4909,-4918,20.697,2,0,3721286,3721286,0.0
105,4923,-4885,20.457,2,0,3721286,3721286,0.0
105,4861,-4897,20.217,2,0,3721286,3721286,0.0
105,4888,-4912,19.977,2,0,3721286,3721286,0.0
105,4882,-4847,19.737,2,0,3721286,3721286,0.0
105,4867,-4906,19.497,2,0,3721286,3721286,0.0
105,4934,-4899,19.257,2,0,3721286,3721286,0.0
105,4867,-4878,19.017,4,10000,3723104,3758150,1.945
105,4894,-4922,18.777,4,10000,3735311,3758150,13.525
106,4689,-4634,28.537,6,10000,3755604,3758150,22.126
106,4804,-4814,28.297,6,-10000,3777728,3758150,23.358
106,4852,-4883,28.057,6,-10000,3781711,3758150,2.852
106,4674,-4667,27.817,2,0,3775478,3775478,-7.059
106,4819,-4822,27.577,2,0,3769821,3769821,-5.935
106,4903,-4834,27.337,2,0,3765133,3765133,-4.91
106,4869,-4899,27.097,2,0,3761292,3761292,-4.035
106,4877,-4874,26.857,2,0,3758106,3758106,-3.405
106,4886,-4883,26.617,2,0,3755480,3755480,-2.762
106,4907,-4916,26.377,2,0,3753414,3753414,-2.075
106,4879,-4849,26.138,2,0,3752073,3752073,-1.409
106,4905,-4889,25.898,2,0,3751238,3751238,-0.875
106,4863,-4891,25.658,2,0,3750988,3750988,-0.204
106,4875,-4880,25.418,2,0,3750993,3750993,0.006
106,4896,-4912,25.178,2,0,3750995,3750995,0.0
106,4871,-4847,24.938,2,0,3750998,3750998,0.002
106,4919,-4878,24.698,2,0,3751001,3751001,0.0
106,4879,-4876,24.458,2,0,3751005,3751005,0.002
106,4877,-4906,24.218,2,0,3751008,3751008,0.0
106,4903,-4870,23.978,2,0,3751013,3751013,0.005
106,4850,-4924,23.738,2,0,3751021,3751021,0.004
106,4917,-4866,23.498,2,0,3751111,3751111,0.099
106,4871,-4885,23.258,2,0,3751182,3751182,0.053
106,4886,-4918,23.018,2,0,3751179,3751179,-0.004
106,4873,-4851,22.778,2,0,3751179,3751179,0.0
106,4896,-4908,22.538,2,0,3751179,3751179,0.0
106,4871,-4870,22.298,2,0,3751179,3751179,0.0
106,4911,-4880,22.058,2,0,3751179,3751179,0.0
106,4879,-4912,21.818,2,0,3751179,3751179,0.0
106,4877,-4851,21.578,2,0,3751179,3751179,0.0
106,4907,-4891,21.338,2,0,3751179,3751179,0.0
106,4848,-4885,21.098,4,10000,3751482,3788043,0.25
106,4911,-4883,20.858,4,10000,3761883,3788043,11.312
106,4869,-4910,20.618,4,10000,3781302,3788043,21.141
107,4704,-4717,30.378,6,-10000,3803182,3788043,22.795
107,4827,-4801,30.138,6,-10000,3811369,3788043,7.382
107,4877,-4870,29.898,2,0,3806749,3806749,-5.917
107,4879,-4862,29.658,2,0,3800893,3800893,-6.311
107,4867,-4893,29.418,2,0,3795958,3795958,-4.889
107,4869,-4870,29.178,2,0,3792235,3792235,-4.104
107,4930,-4887,28.938,2,0,3789734,3789734,-2.387
107,4867,-4899,28.698,2,0,3790136,3790136,0.536
107,4900,-4849,28.458,2,0,3790428,3790428,0.314
107,4873,-4878,28.218,2,0,3790429,3790429,-0.013
107,4852,-4855,27.978,2,0,3790428,3790428,-0.001
107,4907,-4889,27.738,2,0,3790428,3790428,0.0
107,4861,-4901,27.498,2,0,3790436,3790436,0.006
107,4892,-4857,27.258,2,0,3790458,3790458,0.019
107,4884,-4885,27.018,2,0,3790473,3790473,0.007
107,4869,-4853,26.778,2,0,3790473,3790473,-0.001
107,4911,-4880,26.538,2,0,3790477,3790477,0.003
107,4873,-4899,26.298,2,0,3790477,3790477,0.0
