bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
43,4903,-4906,0.0,5,1090,13396693,13372675,0.0,15.0
43,4903,-4901,0.0,5,1090,13396693,13372675,0.0,15.0
43,4909,-4891,0.0,5,1090,13396693,13372675,0.0,15.0
43,4921,-4857,0.0,5,1090,13396693,13372675,0.0,15.0
43,4903,-4849,0.0,5,1090,13396693,13372675,0.0,15.0
43,4888,-4841,0.0,5,1090,13396693,13372675,0.0,15.0
43,4875,-4895,0.0,5,910,13396693,13372675,0.0,-15.0
43,4871,-4914,0.0,5,-303,13396656,13372675,-0.05,-15.0
43,4903,-4904,0.0,2,-884,13396591,13396591,-0.056,-5.0
43,4894,-4895,0.0,2,-1027,13396177,13396177,-0.402,-5.0
43,4919,-4910,0.0,2,-1020,13394445,13394445,-1.573,-5.0
43,4875,-4866,0.0,2,-1015,13391205,13391205,-2.382,-5.0
43,4892,-4889,0.0,2,-1016,13388048,13388048,-2.265,-5.0
43,4871,-4849,0.0,2,-1028,13387043,13387043,-0.234,-5.0
43,4871,-4880,0.0,2,-1030,13387085,13387085,0.03,-5.0
43,4877,-4885,0.0,2,-1029,13387086,13387086,0.0,-5.0
43,4877,-4876,0.0,2,-1030,13387086,13387086,0.0,-5.0
43,4879,-4876,0.0,2,-1030,13387086,13387086,0.0,-5.0
43,4877,-4883,0.0,2,-1030,13387086,13387086,0.0,-5.0
43,4905,-4876,0.0,2,-1030,13387086,13387086,0.0,-5.0
43,4871,-4870,0.0,2,-1030,13387086,13387086,0.0,-5.0
43,4863,-4847,0.0,2,-1030,13387086,13387086,0.0,-5.0
43,4871,-4841,0.0,0,0,13387086,13387086,0.0,0.0
43,3873,-3891,0.0,0,0,13387399,13387086,0.293,0.0
43,2697,-2658,0.0,0,0,13387408,13387086,-0.014,0.0
43,1561,-1411,0.0,0,0,13387408,13387086,0.0,0.0
43,410,-331,0.0,0,0,13387408,13387086,0.0,0.0
43,87,-93,0.0,0,0,13387413,13387086,0.0,0.0
43,16,18,0.0,0,0,13387418,13387086,0.001,0.0
43,-9,29,0.0,0,0,13387419,13387086,0.0,0.0
43,4,-11,0.0,0,0,13387422,13387086,0.0,0.0
43,0,4,0.0,0,0,13387422,13387086,0.0,0.0
43,0,0,0.0,0,0,13387424,13387086,0.0,0.0
43,0,-3,0.0,0,0,13387424,13387086,0.0,0.0
43,0,-3,0.0,0,0,13387428,13387086,0.0,0.0
43,-3,2,0.0,0,0,13387428,13387086,0.0,0.0
43,0,0,0.0,0,0,13387428,13387086,0.0,0.0
43,0,0,0.0,0,0,13387428,13387086,0.0,0.0
43,0,0,0.0,0,0,13387428,13387086,0.0,0.0
43,0,-3,0.0,0,0,13387428,13387086,0.0,0.0
43,0,0,0.0,0,0,13387428,13387086,0.0,0.0
43,0,0,0.0,0,0,13387428,13387086,0.0,0.0
43,0,0,0.0,0,0,13387428,13387086,0.0,0.0
43,-3,0,0.0,0,0,13387429,13387086,0.0,0.0
43,0,0,0.0,0,0,13387430,13387086,0.0,0.0
43,0,0,0.0,0,0,13387430,13387086,0.0,0.0
43,0,0,0.0,0,0,13387430,13387086,0.0,0.0
43,-3,0,0.0,0,0,13387430,13387086,0.0,0.0
43,0,0,0.0,0,0,13387430,13387086,0.0,0.0
43,0,-5,0.0,0,0,13387430,13387086,0.0,0.0
43,-3,-3,0.0,0,0,13387430,13387086,0.0,0.0
43,27,-51,0.0,1,0,13387430,13387086,0.0,0.0
43,1127,-1082,0.0,1,0,13387430,13387086,0.0,0.0
