evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,1,0,1,9479,-9683,159900.0,3,2,143028,2860603,0,0
0,1,0,1,9462,-9706,159900.0,3,2,143029,2860623,0,0
0,1,0,1,9490,-9652,159900.0,3,2,143030,2860643,0,0
0,1,0,1,9515,-9691,159900.0,3,2,143031,2860663,0,0
0,1,0,1,9504,-9683,159900.0,3,2,143032,2860683,0,0
0,1,0,1,9485,-9687,159900.0,3,2,143033,2860703,0,0
0,1,0,1,9460,-9698,159900.0,3,2,143034,2860723,0,0
0,1,0,1,9452,-9656,159900.0,3,2,143035,2860743,0,0
0,1,0,1,9469,-9706,159900.0,3,2,143036,2860763,0,0
0,1,0,1,9492,-9675,159900.0,3,2,143037,2860783,0,0
0,1,0,1,9513,-9679,159900.0,3,2,143038,2860803,0,0
0,1,0,1,9510,-9683,159900.0,3,2,143039,2860823,0,0
0,1,0,1,9487,-9660,159900.0,3,2,143040,2860843,0,0
0,1,0,1,9471,-9708,159900.0,3,2,143041,2860863,0,0
0,1,0,1,9469,-9666,159900.0,3,2,143042,2860883,0,0
0,1,0,1,9492,-9666,159900.0,3,2,143043,2860903,0,0
0,1,0,1,9510,-9708,159900.0,3,2,143044,2860923,0,0
0,1,0,1,9504,-9673,159900.0,3,2,143045,2860943,0,0
0,1,0,1,9498,-9698,159900.0,3,2,143046,2860963,0,0
0,1,0,1,9479,-9666,159900.0,3,2,143047,2860983,0,0
0,1,0,1,9475,-9675,159900.0,3,2,143048,2861003,0,0
0,1,0,1,9471,-9710,159900.0,3,2,143049,2861023,0,0
0,1,0,1,9487,-9671,159900.0,3,2,143050,2861043,0,0
0,1,0,1,9487,-9704,159900.0,3,2,143051,2861063,0,0
0,1,0,1,9498,-9673,159900.0,3,2,143052,2861083,0,0
0,1,0,1,9485,-9691,159900.0,3,2,143053,2861103,0,0
0,1,0,1,9481,-9706,159900.0,3,2,143054,2861123,0,0
0,1,0,1,9481,-9658,159900.0,3,2,143055,2861143,0,0
0,1,0,1,9475,-9702,159900.0,3,2,143056,2861163,0,0
0,1,0,1,9485,-9671,159900.0,3,2,143057,2861183,0,0
0,1,0,1,9492,-9696,159900.0,3,2,143058,2861203,0,0
0,1,0,1,9502,-9704,159900.0,3,2,143059,2861223,0,0
0,1,0,1,9508,-9658,159900.0,3,2,143060,2861243,0,0
0,1,0,1,9487,-9706,159900.0,3,2,143061,2861263,0,0
0,1,0,1,9479,-9683,159900.0,3,2,143062,2861283,0,0
0,1,0,1,9460,-9673,159900.0,3,2,143063,2861303,0,0
0,1,0,1,9477,-9696,159900.0,3,2,143064,2861323,0,0
0,1,0,1,9494,-9658,159900.0,3,2,143065,2861343,0,0
0,1,0,1,9515,-9702,159900.0,3,2,143066,2861363,0,0
0,1,0,1,9502,-9675,159900.0,3,2,143067,2861383,0,0
0,1,0,1,9483,-9662,159900.0,3,2,143068,2861403,0,0
0,1,0,1,9460,-9698,159900.0,3,2,143069,2861423,0,0
0,1,0,1,9454,-9668,159900.0,3,2,143070,2861443,0,0
0,1,0,1,9492,-9704,159900.0,3,2,143071,2861463,0,0
0,1,0,1,9508,-9664,159900.0,3,2,143072,2861483,0,0
0,1,0,1,9510,-9679,159900.0,3,2,143073,2861503,0,0
0,1,0,1,9485,-9702,159900.0,3,2,143074,2861523,0,0
0,1,0,1,9471,-9679,159900.0,3,2,143075,2861543,0,0
0,1,0,1,9473,-9698,159900.0,3,2,143076,2861563,0,0
0,1,0,1,9473,-9683,159900.0,3,2,143077,2861583,0,0
0,1,0,1,9492,-9681,159900.0,3,2,143078,2861603,0,0
0,1,0,1,9506,-9712,159900.0,3,2,143079,2861623,0,0
0,1,0,1,9500,-9658,159900.0,3,2,143080,2861643,0,0
0,1,0,1,9496,-9696,159900.0,3,2,143081,2861663,0,0
0,1,0,1,9475,-9677,159900.0,3,2,143082,2861683,0,0
0,1,0,1,9473,-9681,159900.0,3,2,143083,2861703,0,0
0,1,0,1,9479,-9694,159900.0,3,2,143084,2861723,0,0
0,1,0,1,9483,-9645,159900.0,3,2,143085,2861743,0,0
0,1,0,1,9494,-9696,159900.0,3,2,143086,2861763,0,0
0,1,0,1,9490,-9671,159900.0,3,2,143087,2861783,0,0
0,1,0,1,9487,-9694,159900.0,3,2,143088,2861803,0,0
0,1,0,1,9490,-9677,159900.0,3,2,143089,2861823,0,0
0,1,0,1,9471,-9658,159900.0,3,2,143090,2861843,0,0
0,1,0,1,9473,-9702,159900.0,3,2,143091,2861863,0,0
0,1,0,1,9475,-9666,159900.0,3,2,143092,2861883,0,0
0,1,0,1,9487,-9677,159900.0,3,2,143093,2861903,0,0
0,1,0,1,9500,-9691,159900.0,3,2,143094,2861923,0,0
0,1,0,1,9513,-9671,159900.0,3,2,143095,2861943,0,0
0,1,0,1,9492,-9710,159900.0,3,2,143096,2861963,0,0
0,1,0,1,9456,-9656,159900.0,3,2,143097,2861983,0,0
0,1,0,1,9456,-9689,159900.0,3,2,143098,2862003,0,0
0,1,0,1,9479,-9689,159900.0,3,2,143099,2862023,0,0
0,1,0,1,9504,-9681,159900.0,3,2,143100,2862043,0,0
0,1,0,1,9513,-9700,159900.0,3,2,143101,2862063,0,0
0,1,0,1,9496,-9645,159900.0,3,2,143102,2862083,0,0
0,1,0,1,9471,-9691,159900.0,3,2,143103,2862103,0,0
0,1,0,1,9456,-9679,159900.0,3,2,143104,2862123,0,0
0,1,0,1,9467,-9685,159900.0,3,2,143105,2862143,0,0
0,1,0,1,9479,-9696,159900.0,3,2,143106,2862163,0,0
0,1,0,1,9500,-9656,159900.0,3,2,143107,2862183,0,0
0,1,0,1,9513,-9700,159900.0,3,2,143108,2862203,0,0
0,1,0,1,9496,-9677,159900.0,3,2,143109,2862223,0,0
0,1,0,1,9487,-9658,159900.0,3,2,143110,2862243,0,0
0,1,0,1,9471,-9696,159900.0,3,2,143111,2862263,0,0
0,1,0,1,9469,-9666,159900.0,3,2,143112,2862283,0,0
0,1,0,1,9483,-9702,159900.0,3,2,143113,2862303,0,0
0,1,0,1,9485,-9664,159900.0,3,2,143114,2862323,0,0
0,1,0,1,9496,-9675,159900.0,3,2,143115,2862343,0,0
0,1,0,1,9485,-9698,159900.0,3,2,143116,2862363,0,0
0,1,0,1,9479,-9673,159900.0,3,2,143117,2862383,0,0
0,1,0,1,9479,-9700,159900.0,3,2,143118,2862403,0,0
0,1,0,1,9475,-9647,159900.0,3,2,143119,2862423,0,0
0,1,0,1,9475,-9685,159900.0,3,2,143120,2862443,0,0
0,1,0,1,9483,-9694,159900.0,3,2,143121,2862463,0,0
0,1,0,1,9492,-9654,159900.0,3,2,143122,2862483,0,0
0,1,0,1,9515,-9691,159900.0,3,2,143123,2862503,0,0
0,1,0,1,9485,-9654,159900.0,3,2,143124,2862523,0,0
0,1,0,1,9477,-9694,159900.0,3,2,143125,2862543,0,0
0,1,0,1,9456,-9675,159900.0,3,2,143126,2862563,0,0
0,1,0,1,9469,-9654,159900.0,3,2,143127,2862583,0,0
0,1,0,1,9490,-9698,159900.0,3,2,143128,2862603,0,0
0,1,0,1,9513,-9664,159900.0,3,2,143129,2862623,0,0
0,1,0,1,9508,-9704,159900.0,3,2,143130,2862643,0,0
0,1,0,1,9485,-9664,159900.0,3,2,143131,2862663,0,0
0,1,0,1,9462,-9677,159900.0,3,2,143132,2862683,0,0
0,1,0,1,9452,-9698,159900.0,3,2,143133,2862703,0,0
0,1,0,1,9469,-9679,159900.0,3,2,143134,2862723,0,0
0,1,0,1,9490,-9704,159900.0,3,2,143135,2862743,0,0
0,1,0,1,9508,-9654,159900.0,3,2,143136,2862763,0,0
0,1,0,1,9494,-9681,159900.0,3,2,143137,2862783,0,0
0,1,0,1,9481,-9708,159900.0,3,2,143138,2862803,0,0
0,1,0,1,9469,-9656,159900.0,3,2,143139,2862823,0,0
0,1,0,1,9469,-9696,159900.0,3,2,143140,2862843,0,0
0,1,0,1,9479,-9675,159900.0,3,2,143141,2862863,0,0
0,1,0,1,9498,-9689,159900.0,3,2,143142,2862883,0,0
0,1,0,1,9496,-9696,159900.0,3,2,143143,2862903,0,0
0,1,0,1,9496,-9652,159900.0,3,2,143144,2862923,0,0
0,1,0,1,9481,-9696,159900.0,3,2,143145,2862943,0,0
0,1,0,1,9473,-9673,159900.0,3,2,143146,2862963,0,0
0,1,0,1,9469,-9694,159900.0,3,2,143147,2862983,0,0
0,1,0,1,9475,-9681,159900.0,3,2,143148,2863003,0,0
0,1,0,1,9475,-9656,159900.0,3,2,143149,2863023,0,0
0,1,0,1,9490,-9706,159900.0,3,2,143150,2863043,0,0
0,1,0,1,9496,-9668,159900.0,3,2,143151,2863063,0,0
0,1,0,1,9500,-9691,159900.0,3,2,143152,2863083,0,0
0,1,0,1,9479,-9691,159900.0,3,2,143153,2863103,0,0
0,1,0,1,9477,-9668,159900.0,3,2,143154,2863123,0,0
0,1,0,1,9467,-9706,159900.0,3,2,143155,2863143,0,0
0,1,0,1,9483,-9656,159900.0,3,2,143156,2863163,0,0
0,1,0,1,9496,-9685,159900.0,3,2,143157,2863183,0,0
0,1,0,1,9515,-9689,159900.0,3,2,143158,2863203,0,0
0,1,0,1,9498,-9681,159900.0,3,2,143159,2863223,0,0
0,1,0,1,9479,-9698,159900.0,3,2,143160,2863243,0,0
0,1,0,1,9456,-9645,159900.0,3,2,143161,2863263,0,0
0,1,0,1,9452,-9691,159900.0,3,2,143162,2863283,0,0
0,1,0,1,9490,-9681,159900.0,3,2,143163,2863303,0,0
0,1,0,1,9513,-9687,159900.0,3,2,143164,2863323,0,0
0,1,0,1,9506,-9691,159900.0,3,2,143165,2863343,0,0
0,1,0,1,9487,-9658,159900.0,3,2,143166,2863363,0,0
0,1,0,1,9469,-9696,159900.0,3,2,143167,2863383,0,0
0,1,0,1,9467,-9673,159900.0,3,2,143168,2863403,0,0
0,1,0,1,9475,-9656,159900.0,3,2,143169,2863423,0,0
0,1,0,1,9490,-9698,159900.0,3,2,143170,2863443,0,0
